"ialpha","ibeta","ifold","irep","seed1","seed2","seed3","seed4","seed5","seed6","seed7"
1,1,0,1,10407,1447194813,-475340710,-577488365,817395768,-636805927,1211506374
2,1,0,1,10407,1763372605,2106116717,-627122721,869859102,-1238654578,1855454066
3,1,0,1,10407,605966305,1358621248,55651638,1473368146,-1588534454,-2046735317
4,1,0,1,10407,233286345,-100307514,1190953956,-1887800476,-395465302,702503554
5,1,0,1,10407,-1556048798,265858493,-1729610992,-540478409,-987573777,-1714241719
6,1,0,1,10407,-1780765444,-1671018476,-1839046506,1255571638,-904887762,1987891520
7,1,0,1,10407,1707675533,206431543,918694632,-384487314,-1706083813,1807215825
8,1,0,1,10407,-367257747,1133480010,-2015438050,1504293875,-162520272,1900726147
9,1,0,1,10407,1757370663,-1124152342,-1294343824,462047298,505712125,25283098
10,1,0,1,10407,-1369692798,527838701,2068502488,-549687297,-318678027,-2033188076
1,2,0,1,10407,-1084787411,-31828351,-1676446925,1281990831,1637488584,434772786
2,2,0,1,10407,-86214924,-1617301841,130286572,-908904276,-1312222045,-1221119962
3,2,0,1,10407,-1180496546,2025974875,-2059398870,1515607530,1058132551,1868204651
4,2,0,1,10407,2020931344,-902108977,588897940,1267518602,2046974565,119306375
5,2,0,1,10407,-1105348335,-326055759,-162184653,1603048327,-1869743498,-672158155
6,2,0,1,10407,370627721,1407179491,1581462533,606055458,-1417556801,1941458878
7,2,0,1,10407,-1109278423,-1999531933,-1895305493,-1401397464,-234956721,1543029718
8,2,0,1,10407,1427373660,-1434100715,1020801814,863874214,-844755172,-39110407
9,2,0,1,10407,-2141327346,1215287923,-1377968580,1401219247,-907167096,796819191
10,2,0,1,10407,-1223125430,1086826457,1293981269,-1653343540,-92967960,138099859
1,3,0,1,10407,-2117644566,-1127675953,905922452,-1600781672,-1992079728,209674025
2,3,0,1,10407,1167381789,-775764916,-297293561,-1718369726,1621763473,1342156494
3,3,0,1,10407,-867970899,358795303,-1155647033,-1584405520,-717664377,922325109
4,3,0,1,10407,2092954469,-1836585512,856578076,-66644958,2087838446,161814876
5,3,0,1,10407,-1091342104,1564315074,497869236,-25122514,704471241,399342544
6,3,0,1,10407,-1838991141,-85663029,1688265827,523269436,-1882810710,1398268253
7,3,0,1,10407,-388619538,59234241,-1273676228,900066750,-2032307812,-571102236
8,3,0,1,10407,532056094,-1342004679,1692649502,-694009523,-940206229,-73598477
9,3,0,1,10407,-2113618014,1540284620,219307864,-1807839897,1007867692,-1807803811
10,3,0,1,10407,1512850098,-607917839,-66372538,-1728135905,-1010186350,-1191134157
1,4,0,1,10407,-1134845018,-87845315,2008428833,-1332728284,-1264214197,-90151006
2,4,0,1,10407,1466377540,-1647403564,1239717617,2132342924,1831136187,-486465573
3,4,0,1,10407,260389020,-1760904274,-190736538,-338193903,-1856879555,-1378619017
4,4,0,1,10407,-751605134,819794528,-1927008619,350816000,-921900145,725428449
5,4,0,1,10407,-1709456986,1352483336,-1569153056,-1111836716,-1985238510,810630321
6,4,0,1,10407,300918441,-921127791,-1907359836,-1382891487,-123457967,316459574
7,4,0,1,10407,638026343,-2027006595,-1703417453,1635603059,-303440657,1757027971
8,4,0,1,10407,142613302,653701384,1042781886,201479660,1129807852,-843489937
9,4,0,1,10407,1788521445,-207491150,1421351971,1458951888,858283065,2006413841
10,4,0,1,10407,-1011969528,-1899907798,-560117549,1887664096,1127022429,1397906127
1,5,0,1,10407,-761448291,1762893998,-1537152506,1009362727,-1151225091,-1231889829
2,5,0,1,10407,-312209560,-1949032779,-865095833,-1794184607,1023140163,-1096645420
