"ialpha","ibeta","ifold","irep","seed1","seed2","seed3","seed4","seed5","seed6","seed7"
1,1,0,1,10407,1100840542,149354311,-758538532,-1486790099,1562699530,1565689091
2,1,0,1,10407,-394408089,-1939874877,-993145819,-731470644,-1972200416,782371763
3,1,0,1,10407,-1846100033,39353393,-1725806336,1206767665,-1575169272,-1925665902
4,1,0,1,10407,-474364637,-2007918270,100586228,-674083516,1933033835,-105255020
5,1,0,1,10407,751150623,170055953,788820513,-1025097697,1530998618,-1031616087
6,1,0,1,10407,299250753,-1738444222,-1264118081,945285174,2101307957,1413604271
7,1,0,1,10407,527922133,693542546,-1249831269,1756718741,-2091074917,-2103017419
8,1,0,1,10407,-958675867,-1036038231,484777613,550635687,-1602567316,371816051
9,1,0,1,10407,-935866957,491979904,-546719241,231877208,-1008178955,831961081
10,1,0,1,10407,-1253226787,-2017506210,1439872796,-1902825212,-600733518,-393991358
1,2,0,1,10407,1073645424,1773176904,-1440140739,1651040081,-808115219,1251790929
2,2,0,1,10407,-592712823,-2096648990,958583764,364271382,1970869164,71347019
3,2,0,1,10407,972371098,1664059390,-2088298817,-502928263,913794784,935173092
4,2,0,1,10407,1339793675,-925347588,1030884883,969358228,922060115,-1161199987
5,2,0,1,10407,1392785346,1807607337,-912280728,-455523844,2022289650,-32710222
6,2,0,1,10407,1187661792,-930199732,-808040511,2127724892,1819034572,1312074746
7,2,0,1,10407,-1095374823,1626127300,908787554,1483473835,36637340,1631294
8,2,0,1,10407,-362142050,1877693535,1977374561,1504112229,-193940991,-1744549227
9,2,0,1,10407,-92118560,259712782,-18098814,1244935245,-1046098312,-153931890
10,2,0,1,10407,-207726386,310748897,1159069635,-1381954876,1880767209,-1740485904
1,3,0,1,10407,1316052389,-1045387787,-746116618,-1201950013,2096253040,1475901220
2,3,0,1,10407,-404275614,176897550,-1172793018,-206013787,-845612681,-407308543
3,3,0,1,10407,1551754992,612344918,-932242521,-248038620,-433384746,-835114193
4,3,0,1,10407,1668540442,23827599,-1869393237,-1478562967,-1950612253,-1114250289
5,3,0,1,10407,1992790498,1620625494,684423070,168907399,440179242,1764532613
6,3,0,1,10407,1186397965,-346531847,1064998608,-1600592800,-1573703376,-605677218
7,3,0,1,10407,1262923074,1909838364,642687433,1461445896,-1734631928,-215252288
8,3,0,1,10407,-1977485229,399966354,-318831661,977388744,217911644,-1039265838
9,3,0,1,10407,722590007,-547091750,1323437659,442572498,-1695218914,-1320289290
10,3,0,1,10407,209379129,-823947092,45243139,616152238,1312067256,-1746212615
1,4,0,1,10407,-1522005886,-141695360,1403423336,912760070,-1155461343,-1048751209
2,4,0,1,10407,848104607,-867016126,-2126151923,-1729663584,-2074989472,-572022335
3,4,0,1,10407,-1462443171,201657864,681917949,1740752140,1931572766,-2041986709
4,4,0,1,10407,1530321229,1362785811,888186451,563056279,-1253242151,-81961215
5,4,0,1,10407,1235706423,1252364686,-423969261,1029482109,-164449661,-509605255
6,4,0,1,10407,705538052,-1454636005,-177548703,-1059889734,1128103404,1272313299
7,4,0,1,10407,-212819121,-228118330,1122888412,33959322,-1828353004,450419406
8,4,0,1,10407,1070982021,-712751204,153615361,-726422694,-1318357441,-18271303
9,4,0,1,10407,-894137209,-2057039578,-1798226255,-1187181088,-1888429291,1841244185
10,4,0,1,10407,935761680,-631111916,-303156692,-1341634019,1871578456,1007650399
1,5,0,1,10407,164741113,-1742674230,-1204286108,-1559636049,865143053,-1612651929
2,5,0,1,10407,-711927574,-487873416,-927714608,-52834133,-736966090,370009745
3,5,0,1,10407,1347255417,-903003866,-18294750,342038840,831621879,-1750910577
4,5,0,1,10407,1670539771,1215691203,1812820557,-1847922235,1742492011,-1855787027
5,5,0,1,10407,119547089,-1209936689,387326566,-1272512063,79407157,997767887
6,5,0,1,10407,1146957801,1020452700,-2140487788,-2028637489,-1342609048,-1281176542
7,5,0,1,10407,1365918080,702664143,2117032077,2122780554,1817880544,-1316194588
8,5,0,1,10407,-1246491599,-1867650669,-1070223948,1961822206,-1999537850,1997146071
9,5,0,1,10407,281835167,923164828,-982881984,-1050863989,-1503043530,605929081
10,5,0,1,10407,-1776772218,-263977116,-624540781,1707569924,124337818,1110686234
1,6,0,1,10407,-410200627,-498799575,512395618,819784010,-1266080875,1650370117
2,6,0,1,10407,1321084522,1538799738,-1595863065,11132968,-976994602,-1604167204
3,6,0,1,10407,-634442155,-860571395,-1884999190,-1601179313,-620158784,-55203601
4,6,0,1,10407,863000099,-1195075171,-1148214772,-1178498093,-828173103,628313787
5,6,0,1,10407,-1409410064,-289884455,1814489693,-688319484,1611586916,1564553571
6,6,0,1,10407,-2004869621,89398276,686781447,-1142507163,1639576963,207080738
7,6,0,1,10407,-1748395969,-255380499,-529799130,-942303015,-508327839,-1214209051
8,6,0,1,10407,366080374,-1772232698,-423494676,1781330719,-157989164,1337151347
9,6,0,1,10407,-616554253,-1583327792,-1423311121,-763503384,-544747564,-257862154
10,6,0,1,10407,138967456,1356444625,2072245606,769393204,-1447761277,180907117
1,7,0,1,10407,-694588206,-1794881402,-1258961893,971807610,908240502,1736650177
2,7,0,1,10407,314726488,-974522542,303272103,-1626403520,-436551451,-1574773993
3,7,0,1,10407,31244933,1823024767,-2022844980,1866645456,-38423312,2044685239
4,7,0,1,10407,1522465016,600639577,1775227947,883133590,-1090853265,804733276
5,7,0,1,10407,1392795754,1918014752,1794194130,952169164,338151530,-1031311265
6,7,0,1,10407,-383881665,-690086174,2031392536,-1893808805,1064776285,-289937452
7,7,0,1,10407,-893764332,601672075,1296615922,1713373065,1941211857,2125123808
8,7,0,1,10407,933967705,-929556138,546485828,482874590,978348602,952712684
9,7,0,1,10407,-1751707372,-1183382192,156674424,1568782947,1013262956,2115438461
10,7,0,1,10407,1963158573,-1389724320,-2104750028,-1958998697,-1953719728,-1154842854
1,8,0,1,10407,1631372533,1715642720,-1294566273,-762451700,-1359973997,611281412
2,8,0,1,10407,-1340498572,1445375546,424032756,-2121679673,1326888767,-455879483
3,8,0,1,10407,2046104350,-652150074,995241919,1803696151,-421389614,1385143044
4,8,0,1,10407,1434067951,-1417853186,37500856,-586083767,825967325,223003389
5,8,0,1,10407,356888193,1227271372,1090700576,30610454,953208326,875766943
6,8,0,1,10407,-644154912,830598872,-145099292,1871491152,639670745,1338047991
