"ialpha","ibeta","ifold","irep","seed1","seed2","seed3","seed4","seed5","seed6","seed7"
1,1,0,1,10407,-331420983,1259812854,-2023404033,-552310732,349574565,-1540508126
2,1,0,1,10407,-614674785,-1444252212,-1587282365,230069369,1183711815,-979034298
3,1,0,1,10407,-1745861676,-974065365,-1195242676,530754302,1551049922,620773648
4,1,0,1,10407,37925143,1500813730,-122420034,-718951478,-595129815,107073294
5,1,0,1,10407,1586055068,-1087207698,80743206,1795969979,632367077,533902219
6,1,0,1,10407,-2028460870,1594299945,-2088607153,1252513835,-1012429661,-1126325358
7,1,0,1,10407,-215542831,1370437812,-2065083892,838638223,-1788330069,1108399471
8,1,0,1,10407,-1946009171,1229340370,-1620067298,1898687752,-1145345325,1370128251
9,1,0,1,10407,469229852,403358444,1036675082,1940035009,1595947123,-502142156
10,1,0,1,10407,1386658484,1756723567,-2052327397,-1254039348,-135637170,293501703
1,2,0,1,10407,-186409528,-1638808704,-1415189206,-2125102579,1955714454,-792212542
2,2,0,1,10407,-1189599337,-1144211956,-418442950,442688356,2134390062,1978503034
3,2,0,1,10407,1609331510,-1475813756,592535719,-822177354,-503151278,322911499
4,2,0,1,10407,-1362443279,2018741897,1295422320,2020848063,404881558,562514112
5,2,0,1,10407,949924687,78395970,-1479388434,1313773565,484116753,-221158358
6,2,0,1,10407,-203624650,-1593879443,2119225016,1019623149,1213494890,-2099645297
7,2,0,1,10407,659676073,1585312992,441187978,-1780904018,443565384,-2032202363
8,2,0,1,10407,1550937474,-930071127,1224614295,123739797,-667838736,-514235487
9,2,0,1,10407,-1176292471,-1447647398,-427913093,-984416372,-2067425555,1310240536
10,2,0,1,10407,-298466239,-763359040,39441145,950762036,-1954340731,-643912459
1,3,0,1,10407,810213852,-2046637216,-1690342248,-1612212487,2098337407,59833145
2,3,0,1,10407,1414764225,-1138713725,222806354,1226907444,936888518,1354514697
3,3,0,1,10407,-1870320691,1276579863,-804242251,-1634545975,-896531814,-339147966
4,3,0,1,10407,1325339450,2102576532,1555236495,-1896939709,900739745,-1571683418
5,3,0,1,10407,446668597,-1636867679,-1376309995,-1439266034,-804276841,-491276458
6,3,0,1,10407,-1317933126,164268726,-596699670,-819491614,784980336,-1783937850
7,3,0,1,10407,-948348768,1950325419,292773227,-1226294060,515340638,-1622676940
8,3,0,1,10407,883468725,162821046,-1251778634,-499145978,-1391155808,-1637840582
9,3,0,1,10407,-1035087135,-774666776,1560620301,-1116303557,-1085154180,1988329928
10,3,0,1,10407,-1848401431,1391617764,391419140,-596451157,1117266800,-1499054668
1,4,0,1,10407,-310120067,-466063412,-424117020,-776096715,1654869995,-1998114584
2,4,0,1,10407,721199438,220239541,-1132185585,-1072139470,-1890292852,50546505
3,4,0,1,10407,1428431568,731448609,-1519874939,1314319516,-1603228865,2136205913
4,4,0,1,10407,959716500,-1288229347,1907946614,-1686842290,-1790790725,2052279060
5,4,0,1,10407,1899699131,879155233,-33604216,-727236668,1897773592,-158787162
6,4,0,1,10407,813116898,-1084734983,-1137359136,1164703346,1900409849,-1894798648
7,4,0,1,10407,1269326938,-790973616,16580963,-1767944103,1780043564,32023804
8,4,0,1,10407,-1028768434,-1168929820,-1162513866,1739442257,-1017120012,-729252382
9,4,0,1,10407,1677745735,74185968,-2050470184,1777815222,247479385,922361594
10,4,0,1,10407,-76108025,1269904450,-2010094911,-1351155053,313365472,1948129664
1,5,0,1,10407,-366633085,1350105266,987194549,462568685,-1841568712,1732060032
2,5,0,1,10407,115329274,1382448993,1843992719,-915084456,-1277454134,-1137709273
3,5,0,1,10407,1713235526,-236901634,503173198,609959192,1052013932,1133388923
4,5,0,1,10407,1339240779,-1323408347,-1120694375,1133310251,-673523813,-498615529
5,5,0,1,10407,-1645446794,-1471857022,557460366,576039888,-25974928,160512398
6,5,0,1,10407,1605993870,-1006035553,-2052521299,-893272657,1036619350,1978843874
7,5,0,1,10407,1210087464,1619805112,-1287980069,-528264131,-850615181,-768113423
8,5,0,1,10407,1339869153,-625768733,525288297,-41369077,345484392,-1096391450
9,5,0,1,10407,-1513563680,1891807736,-1275647837,885638983,-1047578882,-1912858760
10,5,0,1,10407,-1323366563,420213977,-1944976980,2083366273,715939965,-651908926
1,6,0,1,10407,-493832520,148063817,-1123148860,-1312231345,161553645,1801268786
2,6,0,1,10407,1065204240,2137199668,-736680347,987271279,-230067842,502934759
3,6,0,1,10407,504648167,1409340074,412031403,-1209120001,-380712716,-1987127580
4,6,0,1,10407,-1863715154,-1744521685,-1046147038,-386845735,1657760647,2089054845
5,6,0,1,10407,-810441003,-1072256883,1024649136,500818320,-541671614,1475628244
6,6,0,1,10407,-1472158530,690465675,-937046335,1998148344,-1378030408,-501607515
7,6,0,1,10407,1338109311,933498625,665796730,1355542876,-219074775,-1784427390
8,6,0,1,10407,-1854460011,867171586,1038999092,-1902482504,620777408,1146930763
9,6,0,1,10407,-1023070278,4088085,-1619405890,337399815,-1558495467,-1343123892
10,6,0,1,10407,1909047527,-613899973,-97030079,-1985077780,554040721,-1386725571
1,7,0,1,10407,139581950,2079553649,-1002254982,-2032957372,-1971560329,-776706965
2,7,0,1,10407,1963986243,-1426484391,-1892879020,-726453844,1160163319,-1820040346
3,7,0,1,10407,-2043082434,275403594,675152021,-1128032898,-586495995,2125431993
4,7,0,1,10407,1910091657,-1988095625,-1186238439,361542797,437365593,1485216341
5,7,0,1,10407,1926012709,-615252060,-595447904,1901600434,-742087091,1728433353
6,7,0,1,10407,-302503659,1658194841,1995678119,1426612347,335650889,428819382
7,7,0,1,10407,404731313,73586942,-528339180,1111481845,-1898355261,-1509204700
8,7,0,1,10407,1462145827,573132456,1416864326,398088401,-1725395243,1438515904
9,7,0,1,10407,1288106282,632084962,716249132,-122729255,782715375,1951899118
10,7,0,1,10407,-1516810591,1361631245,-1913851500,299747625,-3885765,187490227
1,8,0,1,10407,-664905859,-2036730288,-1231321443,690339857,-747858985,-1605669277
2,8,0,1,10407,-1246459659,1654055543,-255831974,655594771,302034086,-146117093
3,8,0,1,10407,-1740562155,273278538,-1128972837,-1289734427,1924676028,1312278451
4,8,0,1,10407,652200899,-2011225163,-1202598781,1613207601,-2093899415,845312681
5,8,0,1,10407,-2104420467,38447688,587827816,1639509533,2092269975,-1867467424
6,8,0,1,10407,1920153964,-1752326381,-330589425,-697089109,-524505463,-1640953789
