"ialpha","ibeta","ifold","irep","seed1","seed2","seed3","seed4","seed5","seed6","seed7"
1,1,0,1,10407,-1649935489,-1027024972,92069669,-1686597214,814995643,1092684992
2,1,0,1,10407,-835881067,-489591070,-2029139610,-1617979635,-875628803,-1036729260
3,1,0,1,10407,1082454854,-182121131,1287194315,-1387703311,1689773519,1102940043
4,1,0,1,10407,-465540765,1562683525,-488619557,302918984,1823829085,1865672848
5,1,0,1,10407,2002710582,1296501019,-967146357,-1414065562,-1131198772,923370020
6,1,0,1,10407,-1406384095,-189094320,196317670,-315345935,602387966,-2054091505
7,1,0,1,10407,655133013,-1417302649,-537379462,-1593072052,-882024949,100400380
8,1,0,1,10407,581247279,1638941394,1230611592,-1150618427,336277579,1680621088
9,1,0,1,10407,-400876584,1498393055,-1928648376,691621831,-629243623,1776156690
10,1,0,1,10407,-469762803,-1990821389,758581511,-2096448000,578317630,230479467
1,2,0,1,10407,1536075036,55007724,-81629604,-88133478,1188590986,-651874001
2,2,0,1,10407,-1198955219,-2063874438,944719315,1769128350,-911240767,85563169
3,2,0,1,10407,2105601350,1887308864,-163107127,1259186443,1521747935,1145596241
4,2,0,1,10407,1560196812,936150030,733787899,329837746,1148717439,-1367185565
5,2,0,1,10407,-109516281,1190832583,-60639486,-746849485,1593597876,847274709
6,2,0,1,10407,-1158642472,-2068758403,-1850043189,1514581331,-247502557,-392824309
7,2,0,1,10407,-1280606813,-303452595,-1378601657,-643180813,-2141526480,1333881969
8,2,0,1,10407,-1504221469,-1157583709,-353464225,1759130219,-1999591851,-1951388563
9,2,0,1,10407,2057447138,-1392400553,1323724937,-836090051,112165480,-451630114
10,2,0,1,10407,-89129260,2045904700,-1841386820,1863253923,1221854253,-396472902
1,3,0,1,10407,2004756328,460066796,1122945000,61940685,691611583,2138246288
2,3,0,1,10407,-1596928217,291028996,-188185949,-324497237,-829532772,-240262500
3,3,0,1,10407,1460626668,-1305654049,1458161672,-902177103,878640950,-548000500
4,3,0,1,10407,319585005,528544730,-1364633039,1284166126,1249594576,702727868
5,3,0,1,10407,1417893636,1225049226,132396587,820790387,1043923966,1657712635
6,3,0,1,10407,1623850590,-1969604160,1834083416,1035145373,1467350219,-1233079527
7,3,0,1,10407,-1480104582,-38066219,-173983893,-77368884,170633313,878982339
8,3,0,1,10407,623602369,-688530089,1293680825,-170426489,967298915,-13654016
9,3,0,1,10407,-890076031,-1189240213,-1204185574,-420812944,-1824317262,185196422
10,3,0,1,10407,-916608933,-1717957917,531515387,481343357,-91941703,833531545
1,4,0,1,10407,1241810956,-1829853612,2139649952,-680446730,-221304418,-550919628
2,4,0,1,10407,-1769415461,-701573954,1310240720,-839199787,633228129,-1866060532
3,4,0,1,10407,1957791720,-1377888965,-702979680,1431157828,-1254004347,-449561454
4,4,0,1,10407,202622829,-1626948306,1183506552,-25160530,-1197455962,-1787280988
5,4,0,1,10407,-98875704,1417763083,1957848365,-1898130559,-1756881541,-1245598921
6,4,0,1,10407,1736335803,-1144735551,-266444042,-853485685,121099090,511697808
7,4,0,1,10407,-2112801623,-1165849660,782777379,-1497037869,1206674327,-1844610794
8,4,0,1,10407,-387250545,-1175206116,-735015713,-2032172539,-498686348,390268973
9,4,0,1,10407,1811127907,-221846084,-570365347,-616509765,400210444,-1257802078
10,4,0,1,10407,-1932471785,-614916925,603544588,-1243092214,1369658420,-2072116535
1,5,0,1,10407,-53022609,1428234484,713008881,-1902870061,-507441721,1397009318
2,5,0,1,10407,-776278538,1274992922,-1055249036,1492011421,-1860947095,-989785077
3,5,0,1,10407,1454727138,-1381792761,-172546417,-589710973,1001886326,400446469
4,5,0,1,10407,-740186681,1190973426,1333118379,848096172,-1386740311,-1063636386
5,5,0,1,10407,-206237016,-1207417855,-908243485,546201161,1341783804,202667531
6,5,0,1,10407,-2046512632,-2072936142,-951205592,-680974079,1674848105,873282445
7,5,0,1,10407,1779247417,497710751,1040764572,451041889,940426685,-1165280616
8,5,0,1,10407,-1539197289,805427588,168618729,244343623,2059328118,1596924253
9,5,0,1,10407,-999850077,-1159833671,-1018996846,24633450,51954881,-1919074733
10,5,0,1,10407,910378061,-1234969382,1635623720,112610147,1363966608,-1124351234
