"ialpha","ibeta","ifold","irep","seed1","seed2","seed3","seed4","seed5","seed6","seed7"
1,1,0,1,10407,644778792,-289507575,1369032502,-294108097,1443158388,-94304795
2,1,0,1,10407,-1241826982,372876989,1967418397,-80675284,-921900600,-1855396697
3,1,0,1,10407,1582908730,751852956,-850319758,-1396180794,1332666194,489621870
4,1,0,1,10407,2063488372,-219336667,-194169521,-2051479820,2130534536,101806085
5,1,0,1,10407,-838724829,-1144604170,1690075107,291683916,-904052216,-726813097
6,1,0,1,10407,-1807026140,624202221,70155637,-832988495,271076314,-504163543
7,1,0,1,10407,-795190313,-884108401,-1025133158,-967741943,1556388190,762954212
8,1,0,1,10407,-1820329409,1401056387,1147610734,-1966651294,-1184443610,-83913231
9,1,0,1,10407,-160539107,-382440272,1225036856,-1814586835,51426194,-1171432788
10,1,0,1,10407,1036716530,-983760786,831818137,-1978354120,247201048,-152607543
1,2,0,1,10407,284363934,1816962264,-1863324944,-540242527,-1550071395,-1660805801
2,2,0,1,10407,-1271328814,658912741,1921729626,-1832328525,-2069332449,-1747302774
3,2,0,1,10407,-223448078,60658498,-1570374107,885855221,1967914766,1665708088
4,2,0,1,10407,1519840564,-2034330877,1843935173,-1346192870,-1197121740,-536379528
5,2,0,1,10407,-341723942,-337864932,1075453397,228690098,2006142297,-59266030
6,2,0,1,10407,1628701697,-2050676237,-698382566,414022531,-1193395838,1260036650
7,2,0,1,10407,857890637,158701963,-591414608,-729190865,-1211831298,-120880376
8,2,0,1,10407,-870789477,1804113696,-1160478557,41555303,2076503601,597375945
9,2,0,1,10407,1283707471,1697806154,-473852757,-1872062974,-1267756398,1668661102
10,2,0,1,10407,-924813578,-176737551,1161523801,2055476565,2026103785,-1390455173
1,3,0,1,10407,-1910834320,-1577865731,-1469197354,-2073668810,-1466292765,581604814
2,3,0,1,10407,-1338993410,-2087307178,-1165227978,-1119456355,-441001811,-891832242
3,3,0,1,10407,-1246936895,-1398798243,1874281901,1734667535,-1787381007,-1442159640
