"ialpha","ibeta","ifold","irep","seed1","seed2","seed3","seed4","seed5","seed6","seed7"
1,1,0,1,10407,-1469167961,-1064563012,1537431693,98177514,-730645917,882886728
2,1,0,1,10407,-1910132944,-1253933431,-54326679,2044770420,722302277,-229310208
3,1,0,1,10407,-606685309,-2034739669,-1880870663,-294908037,1265869243,510359898
4,1,0,1,10407,-1138232955,2044488920,1875134689,1618153300,-429315527,-1771801001
5,1,0,1,10407,-728848673,970150793,1784523158,-1631469782,1910126601,-392489588
6,1,0,1,10407,296498465,336938000,43218159,1667265968,1069456741,150102134
7,1,0,1,10407,-2095327409,689840547,967288281,959693910,1873511430,1786682965
8,1,0,1,10407,-194471453,-575524503,-813395429,721290583,1922281981,-2061658180
9,1,0,1,10407,1856501129,-1625169991,2052245955,955487893,152584878,-1818715255
10,1,0,1,10407,223459348,-297873815,1787385718,-479169230,178056427,-1318115307
1,2,0,1,10407,85445278,1375196028,-1223265221,-975955352,2116270468,-1669732503
2,2,0,1,10407,-1633782376,1419054039,823944775,1645151560,752005620,-456907698
3,2,0,1,10407,233820887,436051192,-310570892,350370859,-43656436,-438325627
4,2,0,1,10407,-1549133790,-1117990479,1330699425,2041771738,239148687,122686428
5,2,0,1,10407,-758221282,375739277,809648923,1696221849,134707710,874895947
6,2,0,1,10407,1391973221,1648729659,398427920,-1195882157,-104039683,-1149012978
7,2,0,1,10407,1074314504,-2112256427,-1927230894,647300816,-945656498,-1517503024
8,2,0,1,10407,1638069492,39701907,1385060187,1868588547,783546140,-228478205
9,2,0,1,10407,-1545220652,2127254372,1925720703,1992269008,1329675757,-334016352
10,2,0,1,10407,1681383015,752174480,-26566203,385010617,2088841717,718854101
1,3,0,1,10407,590544944,-352305396,223661398,-1865732978,858351692,1887332911
2,3,0,1,10407,1926260319,-202363358,621609779,1258873793,-2083765376,639068333
3,3,0,1,10407,-1011697191,438033616,1301304668,110867211,566944300,-1263662304
4,3,0,1,10407,-1582817824,-972240860,876788011,1143890040,392142599,-1183467451
5,3,0,1,10407,-298838316,1266107688,1949895565,-1760525671,-1723448856,-1151113939
