"ialpha","ibeta","ifold","irep","seed1","seed2","seed3","seed4","seed5","seed6","seed7"
1,1,0,1,10407,549471911,1144393404,1824872589,2014581226,1055210083,1005176904
2,1,0,1,10407,2143217650,1422935731,1900152986,1687002803,-1529936461,-1933521402
3,1,0,1,10407,1496081830,846528089,-16683813,-625549645,717213457,340703005
4,1,0,1,10407,18953484,-1806118992,-1111136932,783474325,1831711041,-255739998
5,1,0,1,10407,2064596099,1819429061,-1374995267,1441654828,2096598462,1510357517
6,1,0,1,10407,530849943,1218860243,1475356180,-2131923593,-1181904383,826508778
7,1,0,1,10407,472433480,-394987858,1248022120,1022915176,255670420,1064687344
8,1,0,1,10407,630648022,-475380646,89233530,63589950,396992522,1600365831
9,1,0,1,10407,824926636,-955437278,1347564160,-1101453724,1939747318,-1645704412
10,1,0,1,10407,653998788,621379471,-1163633106,-1395585011,1912814239,-1862625121
1,2,0,1,10407,-654598351,-1543168749,1455579301,-99434791,-1298377876,438509085
2,2,0,1,10407,-486677148,1348880588,-888613074,625281886,-608224657,-1200718582
3,2,0,1,10407,681930988,-912603404,-179402570,411125898,536746778,-997670489
4,2,0,1,10407,261170233,2069530359,-998487073,-1699194233,-490620359,356571011
5,2,0,1,10407,1613955771,-1437226783,-1400560455,1008156573,-1934244112,1637316518
6,2,0,1,10407,1142082941,-1215124802,-1542406743,-2140539984,1798642019,-420687031
7,2,0,1,10407,112745998,498277011,308880685,989359108,-919374039,-490243276
8,2,0,1,10407,1046537966,-881347560,1414866402,-1455466188,-1510975592,-866979541
9,2,0,1,10407,1642689433,1257392940,1193334129,-90796182,1164184398,-544188703
10,2,0,1,10407,-1551325126,95699977,599872502,-189007460,-1945599219,1245298442
1,3,0,1,10407,182328198,1607105120,523241184,1174463026,-2094729424,741141661
2,3,0,1,10407,1009695483,2143583861,1065455585,1249598157,1685067871,1048907831
3,3,0,1,10407,1375285094,-150879563,-747601875,1339435183,1116438975,1690698411
4,3,0,1,10407,-1195581459,-2090297313,-1409475465,1563343106,-854687095,447168985
5,3,0,1,10407,-476418993,1810157972,-104779258,1254443668,1369682942,876711112
6,3,0,1,10407,1010401114,1337673088,-59354264,1645792937,1514509516,1421839073
7,3,0,1,10407,-1772335802,811446284,1297126044,768238377,1104082465,1878377328
8,3,0,1,10407,222511622,-1980874875,44293793,-1467210977,-457876354,1289696571
9,3,0,1,10407,104541909,2069190236,-1888853301,977260024,-681887013,471297067
10,3,0,1,10407,2028860316,-1585999392,1529894672,1080296237,-620458824,-1000884285
1,4,0,1,10407,840048676,-2013995596,-741329,-113635484,91303703,-101453508
2,4,0,1,10407,910035238,1607184799,-1042732056,-1417061021,-1162874979,-1172544383
3,4,0,1,10407,-1486054808,-1783603363,-1609835824,1401488711,1445075750,1333424076
4,4,0,1,10407,1103920348,856265657,-1830541071,1418320963,1546879888,1864565278
5,4,0,1,10407,-236271395,52865035,337403797,-1288362876,-1649578282,823739192
6,4,0,1,10407,1864403694,-1171044787,-1380226098,-1946057841,-328557296,-2024413360
7,4,0,1,10407,-1634621073,-223682827,1011796921,-1041130771,834536480,-816904831
8,4,0,1,10407,68529508,1446742235,1804869147,-1645372432,-972751007,1187302675
9,4,0,1,10407,-1979956755,-210486466,-911125790,652596864,1993198287,-1283881032
10,4,0,1,10407,-1166392783,1837467565,-768524048,385725766,-1496589214,1051015594
1,5,0,1,10407,1533297963,950586170,-229699559,1024787441,1338483714,-635746451
2,5,0,1,10407,1218070351,2031290951,-1947421555,-360417295,-1323614261,-1556843920
3,5,0,1,10407,510110853,1764682018,-269324291,325598957,1943587612,-85196226
4,5,0,1,10407,1565185702,1724009355,1212608076,1824235257,97406451,146366557
5,5,0,1,10407,-711891090,636230849,-1121847020,1496997153,-781319826,2042830096
6,5,0,1,10407,1275457271,711939217,-1856492016,481610409,-922425134,-1668550217
7,5,0,1,10407,910330320,1243157095,1534109364,62249817,-874838790,-989329853
8,5,0,1,10407,-203636750,1300993338,1516938421,-333998331,276790009,-874195867
9,5,0,1,10407,-1662522249,-829319895,939121668,1312313423,2049464247,1857711535
10,5,0,1,10407,-1622925850,1643022875,-463858438,1398414585,846891691,-63163576
1,6,0,1,10407,2007192553,-1251502558,1170977797,141678171,277091212,1850837466
2,6,0,1,10407,2140363538,406088988,-495830651,1575325411,1855564923,-114636244
3,6,0,1,10407,1189215224,-1326937686,2079175195,-238459728,-2020080877,-893727593
4,6,0,1,10407,-1652128802,-2099171406,423365980,-1369660074,-757572896,-881087358
5,6,0,1,10407,-598170906,365186010,424640289,1405662351,12760972,-230311459
6,6,0,1,10407,-375986822,1246798122,-1909556011,-1956493235,83787271,1296463411
7,6,0,1,10407,-705409664,1023172814,-2108000528,-472629509,-526942596,310040077
8,6,0,1,10407,-2101184644,-582221875,1745997687,-404923699,2066881095,-1737612209
9,6,0,1,10407,-2073386129,-1210364319,750480494,-2001653422,-1368585647,-1768507527
10,6,0,1,10407,706434379,-320373802,-587369269,-1901137896,-383843379,-87397400
1,7,0,1,10407,2131267173,-513369702,855215183,-2072747567,-1837494476,-1696210674
2,7,0,1,10407,105657178,-1015506773,512916704,913619892,926834505,1106265595
3,7,0,1,10407,898398848,-1897802900,196177285,-1206707329,-2055726185,1428994493
4,7,0,1,10407,-1365927515,-815711308,1199682356,-1554816367,-1934384846,-1535608063
5,7,0,1,10407,474966550,-2074926119,1745652757,-874598987,-1853235402,-1661364013
6,7,0,1,10407,-1115784355,-443204681,1792836742,-177792498,1407080388,1084704012
7,7,0,1,10407,-233674915,884542061,-1407509566,-271820190,1057340336,-1234714271
8,7,0,1,10407,730504176,-1489371487,1226036969,1350881237,883077793,-1370421471
9,7,0,1,10407,1829133798,-434346792,248343582,409705652,576800946,1186839904
