"ialpha","ibeta","ifold","irep","seed1","seed2","seed3","seed4","seed5","seed6","seed7"
1,1,0,1,10407,-942478647,-1533331466,-367440385,221800500,-609610331,-1611549150
2,1,0,1,10407,2041224370,-1117182175,1464841251,-126576574,-1118618530,722118204
3,1,0,1,10407,-1767346983,-1275934641,-476165727,1074767263,1317920036,1155377261
4,1,0,1,10407,416946122,-903878602,207988182,139203133,1521459824,1611649757
5,1,0,1,10407,-571946503,-1700966524,-1429701481,433532493,-1852203156,1142659570
6,1,0,1,10407,1645059340,851965938,1632579408,1513904085,245743947,-514075079
7,1,0,1,10407,2137486738,-271305993,-978235182,289558289,61405498,931858175
8,1,0,1,10407,860641731,-921928717,-343613628,219419083,1682083603,-1052125302
9,1,0,1,10407,-407317691,1941049168,1778650957,-1805398914,-2032435454,-189266560
10,1,0,1,10407,1023910861,1241750743,-721708891,491539417,19738267,-662945325
1,2,0,1,10407,983151592,-1566155487,-1127648513,-2121254015,824133864,-113299182
2,2,0,1,10407,-1369318069,1199382645,-838636780,463252152,-203101583,-1711070669
3,2,0,1,10407,1754689431,-1561594823,-1894577249,-1939976382,1854069593,1316629416
4,2,0,1,10407,-1041508193,-1357137732,1547404780,1184144580,-934141030,2042665366
5,2,0,1,10407,-746223395,-1280238535,-961701706,-844659423,-1491400972,-1013828046
6,2,0,1,10407,234133048,171648979,-1156475410,973433886,-82557177,572975167
7,2,0,1,10407,1038779101,1225786125,1775651377,-2053213742,245758267,667736082
8,2,0,1,10407,-1493510098,1327527079,1111552531,-1032107799,-1275220520,-224975262
9,2,0,1,10407,1833870327,1891927983,-146485827,-470026981,-777408388,-1739932667
10,2,0,1,10407,1086927919,-1797057177,-1867022779,1432369074,-2688393,1950289663
1,3,0,1,10407,457696737,-2066176786,-1890587007,-95310583,-2089054053,-1396647442
2,3,0,1,10407,-424131676,-1653449548,-273798812,1162935654,-1809908818,1879888799
3,3,0,1,10407,597941645,1219292667,-1905707999,302725249,-1795963595,-848711793
4,3,0,1,10407,-1100626264,384930586,700469210,-757049870,-44769905,321252979
5,3,0,1,10407,-652424484,-1669430724,1347333082,-1254246268,-1165689122,1469614108
6,3,0,1,10407,-456625986,-758936301,-1766036078,308837204,-1561344670,38241668
7,3,0,1,10407,563707085,1739973465,-1391048239,135715433,-1352884384,2088449009
8,3,0,1,10407,28373198,-721609053,-2133542516,-1096916519,-1863435408,727586855
9,3,0,1,10407,-1668490444,627725286,-1673993937,862216517,-3406358,-1888652387
10,3,0,1,10407,-840203604,1908890578,-1652817020,717554341,-1341079109,-1014868902
1,4,0,1,10407,-1033146197,-894180046,-213441759,1369181748,379017481,1942551002
2,4,0,1,10407,-1819020949,-1977861341,-1880618374,1752908984,-2020283677,-1648391615
3,4,0,1,10407,-1321146450,-1809141097,1994532943,1303989724,-1463023396,507290220
4,4,0,1,10407,1707974309,1453592957,1475507585,301599224,1838241904,-307086934
5,4,0,1,10407,413929090,1823576040,715113338,1187600740,-134754405,-971066007
6,4,0,1,10407,1683768877,2142493565,77722228,838492806,-1719377838,622178896
7,4,0,1,10407,910059449,-1640610884,-622304190,1234098000,238272440,1586179889
8,4,0,1,10407,-922493500,782359411,1720329434,-1252180758,1834925080,-1701875451
9,4,0,1,10407,-1807291126,299956282,6007054,631659501,2119692831,-1023682217
10,4,0,1,10407,-849935687,-630264585,-1403831875,-1854879060,-1982920196,-1660734601
1,5,0,1,10407,-2035197,327866897,151636645,-2132720584,940720722,-101666131
2,5,0,1,10407,-315817989,525163678,-286914543,-2031540267,-2078946905,716063404
3,5,0,1,10407,479677628,1584215278,2109765164,1471605639,941665652,2147066210
4,5,0,1,10407,792146234,454848504,2133081576,-1818908794,-301772026,-1490255066
5,5,0,1,10407,-799658235,-718622096,525520603,110544795,981223640,-1991501717
6,5,0,1,10407,1615518664,173217893,1411286918,232097505,493267352,-929498554
7,5,0,1,10407,-442233084,952008981,-1376085327,-362839141,-399148117,-1970345421
8,5,0,1,10407,1548841960,-105181065,-673441744,-65133213,1642008521,879593296
9,5,0,1,10407,-428929210,5100180,-260234800,-177938852,258099984,-821292189
10,5,0,1,10407,-646160380,-1475598317,-1102017163,644953420,-1188945280,505086893
1,6,0,1,10407,408012341,1445338811,1896609425,-937844400,-326166177,-373690653
2,6,0,1,10407,873327628,-2142116116,1066879812,24012870,1596487841,-511621351
3,6,0,1,10407,-1110855517,-913661763,-317443990,1348679583,-99316532,2006544837
4,6,0,1,10407,-230654026,-1566233083,43188296,-100841545,1411201857,1800284687
5,6,0,1,10407,-194323007,934172938,-1670361633,-814313683,-915183080,-1831695517
6,6,0,1,10407,405882067,-1164265651,-2099652750,-1572664208,-1408108870,-1245379397
7,6,0,1,10407,-335202790,2101001454,1878443819,-334229484,-752785104,-1655041008
8,6,0,1,10407,439688691,-612992571,828087215,372047408,802921282,835290877
9,6,0,1,10407,1263118636,-839867724,-53946002,1963481078,1086508475,1002066885
10,6,0,1,10407,-969558224,820016569,1254313159,-623761465,1471027863,1735674664
1,7,0,1,10407,1031017419,182112134,1371742764,860166335,-1017910119,462119351
2,7,0,1,10407,592015136,-961177816,273957930,656763182,1430344317,-1963654997
3,7,0,1,10407,-1607408335,-456021273,1325838062,366974910,-589798657,-61006032
4,7,0,1,10407,278571498,-1814647457,1824276795,-499210620,-878554484,1361258119
5,7,0,1,10407,-1056685150,-1306751399,-1752982678,300437413,1149599875,1961722732
6,7,0,1,10407,1853410792,-789743218,50071297,-480931454,1255713571,656617659
7,7,0,1,10407,1749112145,2095156706,766573836,-1743041025,-524808484,1550720260
8,7,0,1,10407,-1348760385,1194841127,859013908,-374696924,161016283,-1871216639
9,7,0,1,10407,-240081015,-1536773215,-1929301028,94716404,1346442632,-507836553
10,7,0,1,10407,-42471398,-548963459,1666577767,-1998482922,934014325,932438246
1,8,0,1,10407,1796301901,597571746,-1325290467,573233709,-1204758151,-1554086331
2,8,0,1,10407,-503977836,-1412796883,862985667,973902123,-738000025,-1530469688
3,8,0,1,10407,1642601954,-503306247,884804511,1020979790,-1473169587,867355265
4,8,0,1,10407,968960285,-1197390818,-189098288,1933137189,440833170,599752764
5,8,0,1,10407,1677028611,401060340,1590445146,790397563,-1586335626,-399823987
6,8,0,1,10407,974247699,-1746068005,1939042925,1775600401,1256316126,1392300768
7,8,0,1,10407,1767612654,-683713444,-1807503164,582633365,1104324028,532881258
