"ialpha","ibeta","ifold","irep","seed1","seed2","seed3","seed4","seed5","seed6","seed7"
1,1,0,1,10407,867363529,1727739894,1895386623,1855481908,-1249241691,2018620962
2,1,0,1,10407,-672443790,1853140627,327945226,642582878,-1689864536,-932247986
3,1,0,1,10407,-634135711,-1881772594,949562904,-2119542878,-418353278,2006722831
4,1,0,1,10407,1041156939,360790612,957912577,1919042433,-1081046150,1169519389
5,1,0,1,10407,-1984197485,1334382486,2002700588,828439886,1300222262,-1509397843
6,1,0,1,10407,-1559375813,1138182656,511712571,86414115,1821226239,-1781556668
7,1,0,1,10407,-1729049402,-2072632937,-692336354,-623358239,-1521611560,1617650106
8,1,0,1,10407,1136726526,738070417,1326205233,1147305055,-2103220529,-1639724502
9,1,0,1,10407,-1026820037,1924643260,2061887196,-976998600,38127995,1398798824
10,1,0,1,10407,-215147057,-490708144,502655142,54559072,1843740973,-470477953
1,2,0,1,10407,-1002581371,-564933610,257138703,-1187652995,521624360,445149253
2,2,0,1,10407,-161094455,2049675090,-1556984440,1759497623,2123401747,1396410094
3,2,0,1,10407,415147657,1887602701,-1736083395,-1372536121,1245507110,967639201
4,2,0,1,10407,533784185,-223389703,-1952018596,1036439891,-1575734458,1665387865
5,2,0,1,10407,-761626400,369411840,-95862458,1974050999,210247395,676804802
6,2,0,1,10407,-1527790395,-534506161,251599875,-1216284326,-1715182421,-2017250184
7,2,0,1,10407,-906220246,58481705,1397134745,142175130,1591773263,881906310
8,2,0,1,10407,-1562428309,-405812943,1892531456,997279699,-270272812,1348658791
9,2,0,1,10407,-1621033351,1098935934,-61432469,990998242,-1439092567,1386744622
10,2,0,1,10407,53503736,-1552448879,191488764,1173923136,479255083,-1490630294
1,3,0,1,10407,-703201451,2071843354,-1346035536,-846112575,1538846029,-774812605
2,3,0,1,10407,-1531692637,-1240502277,-458993642,1806732782,1665266661,-919199534
3,3,0,1,10407,660398041,149968523,-2135153458,505268104,833996460,48966950
4,3,0,1,10407,-696821961,564227899,728195787,65224862,-733198566,-351553392
5,3,0,1,10407,-1893064227,887331216,-1767389302,-2002577691,821200513,-869586521
6,3,0,1,10407,-1514251293,2025594521,1190471490,-1863156617,-1015569780,29174777
7,3,0,1,10407,988916638,-155519992,-1430622865,404243207,-1254727412,647151431
8,3,0,1,10407,-1812592060,1019209322,2031812346,196271512,-254006594,-251183602
9,3,0,1,10407,2140198090,1144973550,1460599469,372834998,1016151439,504356940
10,3,0,1,10407,2118254479,1497100836,-770414457,-1267845543,-2080335092,-2070871680
1,4,0,1,10407,169014445,-1092403862,1004672806,953133905,-755735574,-1238833919
2,4,0,1,10407,422148032,-1228051453,-255717586,-1984782176,1717668379,-723804985
3,4,0,1,10407,-844792707,985261371,1504569557,-574966450,-1220222011,-2127937787
4,4,0,1,10407,-1251708627,1382474354,959009997,-1847975905,-1005129549,211394974
5,4,0,1,10407,-184234708,-1402738208,1436153933,595024971,681574306,-1379758462
6,4,0,1,10407,-1824090532,-2034025342,1212026848,405194055,-230192175,-1909132449
7,4,0,1,10407,-447073126,1177944499,-256803570,1306786875,424886019,615724299
8,4,0,1,10407,1659668720,-698035669,1345010818,-1396437993,-1995390807,1542248316
9,4,0,1,10407,-191144374,-2020791550,-1901790411,-330155789,1972908651,72822611
10,4,0,1,10407,-1104705319,82792273,1540875516,-1826956800,-2110299679,-1366714958
1,5,0,1,10407,-327941574,1780254220,-1657243988,2106809119,-1087628665,685897283
2,5,0,1,10407,400186202,150391973,14539046,1797252883,-1499519733,1204111297
3,5,0,1,10407,135175708,1861340590,819849244,-1924796356,-1313132477,-1411928363
4,5,0,1,10407,-1336176236,1864788820,1598704954,316261740,1482905626,-1092810257
5,5,0,1,10407,-1293367737,1527271603,-2024858010,1080600534,569965441,720571425
6,5,0,1,10407,-1846201027,-976504045,-867143189,-134889437,-1029362504,-1818313554
7,5,0,1,10407,1089541371,-928384217,1246638483,1086243425,-130785006,-1091066495
8,5,0,1,10407,-608852618,977191646,-1599591726,-620678353,151157997,-1741061547
9,5,0,1,10407,-1067324163,-1989605062,-472984142,-1978934897,1050755254,-7544500
10,5,0,1,10407,623488951,-667075245,-790778009,1177646778,327732212,-286720852
1,6,0,1,10407,-1137446636,-1994813903,-2031442096,949938714,-668790728,3494953
2,6,0,1,10407,1644196727,324229079,657985248,1338838948,1668276955,-164002411
3,6,0,1,10407,-1038256550,-279805852,2052720345,1454136946,202376497,988860825
4,6,0,1,10407,696128183,1073220526,-736480895,777474908,1360226590,1824218216
5,6,0,1,10407,1271738132,524892098,1670192613,1550874652,-194820637,-244545982
6,6,0,1,10407,1301135397,27803234,1340235920,2137736888,238237424,1492010702
7,6,0,1,10407,357178111,-364226198,2119940190,-1293586343,2044488223,2100410208
8,6,0,1,10407,1914184015,-1164245502,1890512911,1032337463,1167575970,1284946214
9,6,0,1,10407,404856882,-783742855,-84213790,-1346549987,-232970936,-242323684
10,6,0,1,10407,-1295913760,-2005382160,1979185496,-620122233,2122580248,1661437185
1,7,0,1,10407,-244423327,-1251751268,712876873,1102802998,745371048,254740537
2,7,0,1,10407,861508968,331277247,2021007579,1515799625,1808508336,-1859493340
