"ialpha","ibeta","ifold","irep","seed1","seed2","seed3","seed4","seed5","seed6","seed7"
1,1,0,1,10407,-121669639,1650702182,-1852831057,-342724316,-2061013547,251380882
2,1,0,1,10407,-1591242585,88129992,407117203,-301871747,-1928373837,-19633443
3,1,0,1,10407,-1747586909,-419124816,445763653,1524024062,1185635827,-1574664541
4,1,0,1,10407,-1707852297,471620460,1277548773,387482308,1869735379,622530683
5,1,0,1,10407,1329682426,1880688707,-308933735,96727550,-1689545155,2034961057
6,1,0,1,10407,-455958251,1407492517,1654713045,1867718554,-742616451,689892856
7,1,0,1,10407,1306929999,-826913324,1284671372,467466094,-846901222,1068680279
8,1,0,1,10407,1084567138,1617004289,-464440505,-45972007,1264763401,1801665632
9,1,0,1,10407,-1324710424,1174760312,-1444126530,1648026361,-1532810972,935891005
10,1,0,1,10407,-1188080810,-1160071069,-676266603,993769787,1955097632,-1460496489
1,2,0,1,10407,1638990825,-976964506,-1061086796,-289371467,1995197381,517573188
2,2,0,1,10407,691217144,-2040795897,-1690519493,61202284,378454598,379633859
3,2,0,1,10407,133286428,620775457,-1443020707,535422597,1418990593,-385166676
4,2,0,1,10407,-258523598,1229017710,2123682082,433547253,-479508550,67443471
5,2,0,1,10407,-229393905,-74222167,1900633667,-1310172768,-1681908706,-936874609
6,2,0,1,10407,-1537465152,610433404,-800781031,-606675390,-1518902296,-688181314
7,2,0,1,10407,1543296565,-2089423825,-998498453,751826025,359208680,-1001536189
8,2,0,1,10407,1040296778,1536485904,1562928049,-467936470,341670362,509018952
9,2,0,1,10407,1348408698,1655620496,697820402,888271925,320505236,-1650966310
10,2,0,1,10407,1076140731,-1453143421,-50893751,1568515195,-1621337206,316534869
1,3,0,1,10407,713507999,352185478,1546621535,-1625019904,-2019417744,-713145958
2,3,0,1,10407,-352157444,-602608359,-471633146,1174610212,1809930906,1689012636
3,3,0,1,10407,1810791192,-1536112200,-1533450038,693699193,1703080394,1686225437
4,3,0,1,10407,-2080404915,-1709909825,905227437,-745940258,-386009931,-1254297228
5,3,0,1,10407,1693802286,1568111105,-1679736102,1081599678,1563691944,1064262486
6,3,0,1,10407,-425344270,292800462,1032718485,667488680,972920477,303950877
7,3,0,1,10407,1953987391,1288292018,-588395485,178851618,1461177598,662782340
8,3,0,1,10407,-1643032923,2020652893,1707140824,-1253730076,1462920583,511988890
9,3,0,1,10407,1857060817,2038969502,1053072254,-1279084012,-331945312,-1727484598
10,3,0,1,10407,-48895042,1137134468,2121796743,-1985993591,-480270982,-1774042020
1,4,0,1,10407,1397276167,-795314953,523883475,634296534,1861183722,-626178455
2,4,0,1,10407,-1626889619,-227553880,-1405836858,1741461899,724919924,1585242084
3,4,0,1,10407,-428415103,-1853554100,-844570379,152905207,202297130,-1519640733
4,4,0,1,10407,-496329248,-1627672094,-677173772,-558624914,-1477014645,113359716
5,4,0,1,10407,-194521754,-677133180,1424409801,-793732007,-336658053,540789860
6,4,0,1,10407,434785480,707507522,-544595064,-1210740866,560840168,1324063281
7,4,0,1,10407,670537914,2059865676,1313515661,-1458223551,865815230,1916863016
8,4,0,1,10407,1968697840,510364224,-2144940989,1404219887,-816673272,780890936
9,4,0,1,10407,1271814159,1932337774,-1227268243,320750264,-1435383136,-269911218
10,4,0,1,10407,1102121845,-2084373852,1383294584,-378702166,-1561361612,-2071904259
1,5,0,1,10407,588911720,309174419,1422873696,-1403606217,786968302,-46051848
2,5,0,1,10407,-1890151507,-1782899839,1852514138,-1493401897,1673933841,1338726761
3,5,0,1,10407,-1039222841,354111921,-1363022953,1927386399,-1476062203,-1479626541
4,5,0,1,10407,1297668817,1653150353,-2029339209,-299990181,-277072398,-1912412537
5,5,0,1,10407,-305930428,-256086559,-1121836764,-6512511,490686983,1014547309
6,5,0,1,10407,-1364108856,12121388,1177868126,1146034573,-1385564922,-878185880
7,5,0,1,10407,-1801651459,1889946128,-1193631447,-162164100,962150434,185978545
8,5,0,1,10407,-910889434,1499098914,515460871,-1775465537,1770525559,2141832993
9,5,0,1,10407,1709448564,-519714933,-920624467,-902074850,405873952,1325494728
10,5,0,1,10407,1315537323,1012667571,622264932,1582716825,-1818003507,-1177749974
1,6,0,1,10407,1638402613,-659014092,328481496,2143787344,-604694533,1369425616
2,6,0,1,10407,1755131736,661635098,85361318,-346752704,1693658435,-457477197
3,6,0,1,10407,1702261627,-785960772,2027560272,1958605653,-1816774684,1425978543
4,6,0,1,10407,1765075803,433904648,541271948,1692222359,-941445413,754943519
5,6,0,1,10407,-46683630,-337501959,1842696051,562983656,-2102792624,-713544353
6,6,0,1,10407,616558136,321142824,-1568062844,1361988264,1925226884,-179623384
7,6,0,1,10407,-1104343574,85813781,1520814803,925013087,279381584,1229611542
8,6,0,1,10407,-1555639367,780471846,-1224430583,-800321781,2100322566,-1337880716
9,6,0,1,10407,542132688,688070544,-1860160877,-756984956,-1179016776,1086616560
10,6,0,1,10407,-681138205,-1051245478,1172192397,585152633,-1158091298,-1930264246
1,7,0,1,10407,-734041493,-1296706562,-432791844,-1710487570,539462469,-1261810760
2,7,0,1,10407,871935015,-706935886,1142538340,-1682299756,-503101200,-59308577
3,7,0,1,10407,-2049033444,1501781842,-1323455109,1203323375,-469378428,793674926
4,7,0,1,10407,1681530074,896134730,1666306485,-582050220,1326217250,587591835
5,7,0,1,10407,424991386,-1577839841,2048051733,1033483264,-337045913,341891618
6,7,0,1,10407,84666257,758486403,1722925748,297184025,999564717,-1724811273
7,7,0,1,10407,-763616974,561049275,-2042554888,1556147687,-170055251,-974033812
8,7,0,1,10407,-1951713302,454182923,-2011627960,-528284619,656799814,615055261
9,7,0,1,10407,-36701782,199276654,996941230,2113277487,1191727983,778592815
10,7,0,1,10407,-364862481,638562077,-1747070836,518712562,-1881141926,-1246824499
1,8,0,1,10407,-1489888857,-966099681,-84540483,803879142,-1801110747,-1536591295
2,8,0,1,10407,-140380699,986386914,1726016049,1076581439,-537717124,1139799674
3,8,0,1,10407,-785321321,-1015443801,-2001786584,1395683844,-102957291,-2102046391
4,8,0,1,10407,1099649635,-70385879,-1899971791,262008833,-706371624,-793538121
5,8,0,1,10407,1926045497,-812976522,-1604269509,2116453312,1886371162,-1733732657
6,8,0,1,10407,1719008123,634555861,-668196651,-1021619510,2041665805,1239612185
7,8,0,1,10407,-653908499,190711233,969944613,1244269908,-465550575,1985147069
8,8,0,1,10407,1264727433,-1489725841,-806609870,594045062,1685609780,-394204236
9,8,0,1,10407,2141599392,728921846,-1984296368,-1756586098,139080086,-1552807903
10,8,0,1,10407,-769806087,-857004077,-2048238306,1497939225,-1901256091,-1169091501
1,9,0,1,10407,-171611756,-658918995,-1411289555,-712035692,119514730,18006907
2,9,0,1,10407,1688732501,742881223,-1357777786,-1282049130,1003200840,-1013001703
3,9,0,1,10407,1445273385,1676629963,2062804689,2126776153,-49590796,1716241139
4,9,0,1,10407,522093818,-1752027066,-1691747116,182210693,-693539902,726480188
5,9,0,1,10407,-957512594,-1745654182,1271779536,870080,-1862072874,1526884171
6,9,0,1,10407,1896665266,1155581914,1677867188,2130903942,419401220,-1737275836
7,9,0,1,10407,544466604,-1668997695,-2103245780,-1526561156,424088878,-1886116524
8,9,0,1,10407,1652361398,1634995308,-1550356768,1801000837,-413175201,-671686828
9,9,0,1,10407,-236605953,1656746096,-203550533,1348554529,-105927760,523793956
10,9,0,1,10407,-1917278790,-959298843,1079036607,-278303201,-927500583,-807710456
1,10,0,1,10407,-1765909280,-46069152,-142194641,545380150,1327212537,324245475
2,10,0,1,10407,284095169,533171753,1626072437,-2027344958,-699091370,1363837659
3,10,0,1,10407,-475979110,-34474202,277778774,1869947579,2135711923,651406452
4,10,0,1,10407,844866116,-740802133,-1977981494,838176500,1715460581,-993739525
5,10,0,1,10407,930777079,-355534806,1441552125,2077995997,1909222877,-194527775
6,10,0,1,10407,-91006680,564820112,1633873938,-1923695424,1556467232,-1930383766
7,10,0,1,10407,1831014580,-1233113715,-37561845,-1408660597,-187235489,875230848
8,10,0,1,10407,-506419095,1880610739,-982296656,199251722,-802560661,-1796582581
9,10,0,1,10407,-1691152100,-1729969654,-754733042,1559224188,-857477490,763392910
10,10,0,1,10407,-896394726,1721810470,-862474985,-1610780727,-2130939568,-1970582969
1,1,1,1,10407,2011660957,-507651206,-1207195162,-891322138,-88034177,-1503719187
2,1,1,1,10407,327792993,1726672776,1347598680,-1006363731,-1198441237,-1461011081
3,1,1,1,10407,-2109028783,-1631015470,33574670,129014312,539004362,1901621861
4,1,1,1,10407,-2042988729,1258277746,-997693730,-1470192220,-2020437287,-2112006819
5,1,1,1,10407,-1393716174,-1568479084,-863208517,-440600546,1388283548,-1920069270
6,1,1,1,10407,-1378812050,202712682,-764561511,1185160507,226912536,1371075381
7,1,1,1,10407,1723537207,1992072087,835827259,347245191,1222584311,994320450
