"ialpha","ibeta","ifold","irep","seed1","seed2","seed3","seed4","seed5","seed6","seed7"
1,1,0,1,10407,1927247865,-838617242,-525333841,-399347420,-246977067,1151059090
2,1,0,1,10407,1922567824,-333063770,-636665036,-1457742169,-1696244327,-2115290870
3,1,0,1,10407,570743616,-1805503667,-2119009276,-247000434,-716783687,-697671820
4,1,0,1,10407,384728121,1209580906,-773439077,1493534347,-1234643459,-1284650955
5,1,0,1,10407,2131891602,1760299664,-2066389573,-1715568399,-314978690,-833255683
6,1,0,1,10407,249486822,-850974424,-279038410,549686295,173002954,-870613405
7,1,0,1,10407,1491050774,-272237112,1042260921,-2035343088,1103498901,-1005122686
8,1,0,1,10407,2124474637,-1695378188,-1384272243,-900082827,383293263,-537767011
9,1,0,1,10407,1038967466,1530677424,1824786721,-1986555839,-1453789919,2055948850
10,1,0,1,10407,1570985086,-1903494811,-549169221,1867953956,-2008556466,-660473670
1,2,0,1,10407,-1312764935,-1427033730,-426403296,-1521475263,-1774768482,-1320694273
2,2,0,1,10407,-2057202935,162516227,-864402059,1870115716,-2034254890,249889066
3,2,0,1,10407,-1603392609,-1410488089,1992352613,699832120,344293370,1637132813
4,2,0,1,10407,-242709413,31304378,1776231233,-419721729,-555190192,-416854786
5,2,0,1,10407,-1593932663,2042728642,760478544,-36280079,-223262843,-557896196
6,2,0,1,10407,145425493,-1760247220,-333492405,-1116861852,-108415630,878031370
7,2,0,1,10407,-1779925975,607712239,1023677969,1919077336,-1840410836,-1770075911
8,2,0,1,10407,530085278,-890594010,1957113808,1625610956,-1995260368,678759889
9,2,0,1,10407,-594871635,-1312709273,271313578,-1097504038,805147153,106646107
10,2,0,1,10407,-1652645410,-1102491260,1419987586,-1304901176,803899485,1735697949
1,3,0,1,10407,-641803603,1847945701,-691225327,-1600409721,-52202617,-769569944
2,3,0,1,10407,-1216072820,-1140302895,-1670837524,-1950907588,1653502354,757155932
3,3,0,1,10407,-157148964,-894880965,-2108934625,-651074832,-890024602,-537700821
4,3,0,1,10407,893894604,233129128,956903552,-1053875256,1342292243,1480079762
5,3,0,1,10407,-1583031756,-1352806415,812167212,-1882776472,-609227473,-2081636701
6,3,0,1,10407,1176408945,-83872541,-710509480,-1070278816,1080581031,1750428059
7,3,0,1,10407,1356099935,-1041056824,474046991,-1589850925,-1346877469,-110359524
8,3,0,1,10407,-1721672371,-131047642,-420466609,-1892914671,-217868025,94969180
9,3,0,1,10407,-531119385,-180753475,1251418741,-1437879576,-1312419488,-1285201256
10,3,0,1,10407,-2061716772,-474502647,1169327403,1339344394,530987164,-966029659
1,4,0,1,10407,2127657242,-694197384,638065907,-72373164,1535228516,1241564473
2,4,0,1,10407,1369801455,-249568985,-608219490,-1982151571,1684674530,1018938256
3,4,0,1,10407,-1981787581,508188991,720987058,154116094,-1589009857,-1075989585
4,4,0,1,10407,-1873178401,-219726771,-600091570,-1365551786,369121356,1597635912
5,4,0,1,10407,1572586016,-1296380554,-1982786898,1746080710,934772887,-396141520
6,4,0,1,10407,563719709,150516655,-925234406,2006928152,1238352833,-105456922
7,4,0,1,10407,632055462,-361521299,-874038136,245629878,-720257270,-8633978
8,4,0,1,10407,1065412713,1993263462,1288179083,551879604,-30552751,-492498003
9,4,0,1,10407,720872396,-516654552,1044087970,725574987,-1529567876,779187814
10,4,0,1,10407,279947440,-1729520771,-1175511642,1721703510,-1519382415,1360049522
