"ialpha","ibeta","ifold","irep","seed1","seed2","seed3","seed4","seed5","seed6","seed7"
1,1,0,1,10407,1935162432,351764289,-622316530,1252287799,-2080385012,-1981506147
2,1,0,1,10407,1756917399,201570463,-414804608,1067255178,846051502,1622098120
3,1,0,1,10407,552840133,69730268,1699805816,1395358567,-292008501,628301371
4,1,0,1,10407,1394414549,-1528788230,231992300,-2060022047,-829977339,1831106029
5,1,0,1,10407,398750358,1343874030,889688589,-1765011373,1453982594,1548845257
6,1,0,1,10407,1934869663,576138151,489519292,930025863,1245204043,-2038346782
7,1,0,1,10407,-1643600401,1978334541,1643842843,424153658,429253701,-1822827383
8,1,0,1,10407,-319031973,419545047,2074676516,-1792652072,1219725926,-1511967004
9,1,0,1,10407,-1934224462,-768714922,-686241946,50048204,347639742,133934677
10,1,0,1,10407,1641938886,1951169851,1825993737,133529280,1007840878,-2072376957
1,2,0,1,10407,1816088820,252111015,3707328,-1594510751,-1260833006,2107043985
2,2,0,1,10407,110048992,1186662613,1875664706,-796246092,1915022582,-1742342269
3,2,0,1,10407,48680911,380839607,1551883851,1146443165,-2098663380,1666974454
4,2,0,1,10407,-2142561511,-501579971,-720989422,103898433,-1216873469,-2010789248
5,2,0,1,10407,-1088155017,-1915477796,1023506653,1587390041,1783623526,380311195
6,2,0,1,10407,-1010061597,1502663933,715585589,950163065,-445420245,941579839
7,2,0,1,10407,-610195949,-1296298538,2125696573,-1588608317,1053458050,1050149475
8,2,0,1,10407,-1402968529,1026538638,287632928,-1503758319,-776709986,320990249
9,2,0,1,10407,-945022395,1206088705,1287537546,-2117285976,-139464848,1944293670
10,2,0,1,10407,-2132425647,1883174165,255767030,2107255274,75510993,1938320166
1,3,0,1,10407,1201637549,362882205,-1916143529,-997322768,-1612112259,1555252121
2,3,0,1,10407,-468797299,1475501671,1275907519,-1006160153,-1920077192,-1436449716
3,3,0,1,10407,124836698,-1509209157,-499623142,604835518,410420546,-1977119213
4,3,0,1,10407,739668151,1899759779,-678615700,-743353678,1686569553,107015408
5,3,0,1,10407,1268045422,1039858901,182646316,1197680231,336640797,1615115021
6,3,0,1,10407,-1140035978,-360284386,1161631468,-2120030557,936603380,-179605876
7,3,0,1,10407,654244760,22679623,1338851568,701049099,585686398,379561155
8,3,0,1,10407,626597981,-1251825893,-32286805,-696411297,-40295924,598972942
9,3,0,1,10407,1125840899,-1586258497,903959756,1124075448,1161075233,-680061252
10,3,0,1,10407,1294461182,-2018969658,1141634310,-38016719,-41096227,-245532283
1,4,0,1,10407,-2039527610,-1115572585,-503779044,637393013,-813307354,-1942527375
2,4,0,1,10407,576911088,1066039355,-197543664,1725764660,1773599842,-898519409
3,4,0,1,10407,1072829771,-226501493,1108859391,7915270,491865911,384324441
4,4,0,1,10407,686670899,1500047172,1302017359,-996394901,-961821519,1074205740
5,4,0,1,10407,-909799242,-63987494,-825268269,1856083451,796503041,772546075
6,4,0,1,10407,1763582722,1079644285,692151034,1445999303,-1499228823,1944974343
7,4,0,1,10407,-1003239477,-19824838,414433351,-1243056261,1273911798,-767060303
8,4,0,1,10407,-722168532,-649086427,-1973919181,-1329707109,-1360227441,-1830553877
9,4,0,1,10407,410133686,-395722859,-1867244823,-1014698649,357244689,-1826338490
10,4,0,1,10407,585826358,-2134997446,2078230429,-672723993,352271665,1878163095
1,5,0,1,10407,629498222,-954139057,1018418844,1831810577,2036915246,-1066905114
2,5,0,1,10407,-372420553,593224808,1752799695,-1735673081,-1786126043,-32695774
3,5,0,1,10407,275346340,2032713529,-1009896110,164921284,1105975741,-1821670642
4,5,0,1,10407,-55264645,83505139,2021111983,-751667307,270653619,-1906135740
5,5,0,1,10407,-1163499420,1574421147,2120397815,1243913564,-346057595,-1359344072
6,5,0,1,10407,-913234814,-742185738,-1621901435,-1618104507,1984489350,-1847581042
7,5,0,1,10407,1564680720,1191881013,815637272,-1659236296,2064355753,1262564399
