"ialpha","ibeta","ifold","irep","seed1","seed2","seed3","seed4","seed5","seed6","seed7"
1,1,0,1,10407,1965256893,181919834,-2053293549,887978040,-377742119,1655905990
2,1,0,1,10407,1472455993,-2050169038,397586418,886992545,147506331,984436272
3,1,0,1,10407,712316048,-845979825,914408285,-591404817,52953234,-1627702407
4,1,0,1,10407,-892615149,151684975,1495321584,1771907837,-1760904628,2078204874
5,1,0,1,10407,-2066635270,201430361,-1781021414,-1662052682,1825709468,1185120997
6,1,0,1,10407,1346837450,-153216028,-1055225054,1083167198,1684672297,-541081263
7,1,0,1,10407,1417231478,1380539400,-1138203938,-1040770970,553550623,-197955878
8,1,0,1,10407,-758270229,-889118465,-1441542761,820060279,-157496561,-1277752005
9,1,0,1,10407,-866177365,1540281885,-830872928,-1172539598,363037602,-630509065
10,1,0,1,10407,-857559501,-1926991422,820045528,-1622139798,882607680,1000428315
1,2,0,1,10407,-568801741,-597262814,-1121108622,-1296905663,-715909895,630445369
2,2,0,1,10407,1093355319,1045579730,1541472733,553426538,-410436609,1089590133
3,2,0,1,10407,-1968525293,-1755283015,1222062630,-649979117,-1656231157,440002129
4,2,0,1,10407,-2038918629,565617590,-1964828513,1043667577,1456412383,-33616861
5,2,0,1,10407,-790099939,-620153505,1706684091,1383782247,1317314922,1002032759
6,2,0,1,10407,1231518088,778456973,-341619383,1827327192,-2080698170,506833467
7,2,0,1,10407,1463619621,-1368828387,-912958434,766091073,1700742477,1464150006
8,2,0,1,10407,281650862,1884904422,858666431,1398441631,682113233,-2011185591
9,2,0,1,10407,664948936,-858313552,386861531,-1239295900,-256431486,1799996481
10,2,0,1,10407,-2117221304,1927646718,173764634,-1716867549,-65250340,-392592884
1,3,0,1,10407,-1858240419,-1728821138,-76310425,1831863940,369993336,-461818721
2,3,0,1,10407,2076300765,1220444467,1341404087,-99029679,-810418284,-1870200027
3,3,0,1,10407,512444259,-844144345,322197306,659255705,-220110750,-1826144579
4,3,0,1,10407,158342469,1896112680,-1880026296,-619003066,-1487654082,-486638165
5,3,0,1,10407,-1956427964,1938957101,-1456053321,888784301,-233148802,-72050566
6,3,0,1,10407,1975493163,-1507029272,1509540816,372150485,-276999474,490784200
7,3,0,1,10407,506507549,91877654,-1357914107,-275571129,-1443437802,-2068125258
8,3,0,1,10407,473147528,-1975025557,733337950,-1042148644,1724920964,1454669664
9,3,0,1,10407,1576338166,-632568916,-2130476397,950925622,-1541600887,-182443089
10,3,0,1,10407,1962884254,94410013,1753919363,22962178,830949188,-527923887
1,4,0,1,10407,1260713373,-389894359,-2048875754,-852188208,-939678194,1629935295
2,4,0,1,10407,-1332224269,288482174,-23584667,1279188384,605970904,-1075812453
3,4,0,1,10407,706720202,317828299,-1351123779,396812851,851795194,-2051734718
4,4,0,1,10407,-188066592,1936201515,-670777792,1256620759,-76812202,-1857588608
5,4,0,1,10407,-1646291780,1002928284,1157983185,-859218757,-632470961,-1911131024
6,4,0,1,10407,-1084766420,357436691,763930852,-1673988818,-1654337775,-1290717474
7,4,0,1,10407,-1095606177,295007980,1018007302,-445430106,-1559824963,498875056
8,4,0,1,10407,-1599854757,-772441987,1534663752,-1416346174,1486717517,1770419307
9,4,0,1,10407,827942252,-17468234,1298060640,1635541435,1801463563,-2105754608
10,4,0,1,10407,662101360,1546882904,-2025337552,-782851009,30834309,-696413571
1,5,0,1,10407,-236736608,-1364346335,263560585,-411582938,-770995569,1969108469
2,5,0,1,10407,1869264361,1613597517,1575989913,-1892187628,863336752,-1708769132
3,5,0,1,10407,-1772078734,321796434,-27885907,-1286709296,810322823,1021706272
4,5,0,1,10407,-978217499,1620411915,-1265033589,1483621346,-238932077,-232354442
5,5,0,1,10407,-353239599,-62024957,-2052836637,-444210718,-403072550,781452902
6,5,0,1,10407,1031074677,-1719649284,1182719675,-254503409,-1139146740,-1001256558
7,5,0,1,10407,293739082,750378441,1908245433,-1635080706,1330726395,39084741
8,5,0,1,10407,2146981258,-486068514,-418594458,1629034158,-1312696143,-2091735868
9,5,0,1,10407,-38218788,-1955028383,-43362237,1766641923,2019172776,-1768286385
10,5,0,1,10407,-275362878,744862118,2010388083,-1618170644,-1433189178,446969
1,6,0,1,10407,1203805481,2103239649,-84614115,330835109,-1176545083,-74083547
2,6,0,1,10407,-25327551,-1447317422,360135324,201804296,-1338934267,-254979072
3,6,0,1,10407,-1887539772,-1982117254,-2120698448,995562006,2118605031,2098534812
4,6,0,1,10407,839924278,-2046199681,-1682530868,-1388609635,1852910012,715379001
