"ialpha","ibeta","ifold","irep","seed1","seed2","seed3","seed4","seed5","seed6","seed7"
1,1,0,1,10407,-61321485,-575893608,-703482695,118758694,-843299473,-1799799580
2,1,0,1,10407,-2117884346,-1481860271,1032389205,-1039239947,1532983160,45003543
3,1,0,1,10407,2030775631,-1063213440,1724281442,-645110739,1142533725,851348465
4,1,0,1,10407,440231014,1509222836,1733430460,158918121,1223783021,1326724945
5,1,0,1,10407,-1017246270,-358508110,-771274562,-1315103589,-1979340474,-41623164
6,1,0,1,10407,-21299045,-486510253,-595506825,1470981665,-550688692,-986744530
7,1,0,1,10407,1992618099,-1342344590,2055540213,1817324229,-727944007,1787324522
8,1,0,1,10407,948496543,-582233216,-1390033794,-1314590490,2109312154,294103045
9,1,0,1,10407,-95430708,439340919,1104025590,-1546714500,-1626840425,1823329172
10,1,0,1,10407,-483021188,2080628179,-337550878,2097742378,-722421450,1713944367
1,2,0,1,10407,243102245,625843787,15913108,1127215546,1149151708,-7265934
2,2,0,1,10407,-887060882,1201002757,-365550589,-1671585519,-1443439876,-210886672
3,2,0,1,10407,727622466,809299830,-438534519,1600312634,-1582533136,-1348703152
4,2,0,1,10407,408880147,-1601517160,1012276759,970231897,-521381563,-425876930
5,2,0,1,10407,-1965938246,1603916520,932866384,-1522762130,-2025710871,1814966063
6,2,0,1,10407,-697745909,1639335037,1831097993,293220741,-1431956274,1229153222
7,2,0,1,10407,137404639,860723854,-10672122,-1287637851,-1828254744,1482636231
8,2,0,1,10407,525662025,852895312,-1292830463,1812579383,-708212867,-357277417
9,2,0,1,10407,-1373013332,-967272591,-901907745,-1673721135,-2002908335,235886450
10,2,0,1,10407,-1899931508,-1665599946,979525290,-481280417,-524517978,-287906070
1,3,0,1,10407,-111478965,-18662951,2047298682,2058939922,-142234218,-1485551443
2,3,0,1,10407,2054840739,-1753077575,425908717,-1702133333,-1541832640,-1122896153
3,3,0,1,10407,1184593054,1922201277,975157577,-1256981819,46859805,1473899643
4,3,0,1,10407,-1850015886,1070418600,-1938943703,1139753825,1410768340,-469708590
5,3,0,1,10407,932525167,-1925155238,-824473786,-375396081,1042549490,-72238031
6,3,0,1,10407,908354898,-201511166,-1971616844,1358862996,995808668,605741688
7,3,0,1,10407,276151997,449516484,-637666470,-1983685224,1762218460,-1029055872
8,3,0,1,10407,-971819191,-528681085,-1552456474,-2028933351,1306721987,13737548
9,3,0,1,10407,31447071,1668992312,-653323241,1567043598,2136594531,355853047
10,3,0,1,10407,32435564,-1316779208,-853114358,-1534530518,-1119379282,-2111353678
1,4,0,1,10407,-1372844104,-411504028,-1805714868,435719722,-180788069,1676329801
2,4,0,1,10407,-302645595,179649568,982597131,-2075999684,-828613318,1202113785
3,4,0,1,10407,-1883748434,-618915036,932317747,-1273506491,1038661910,-610244481
4,4,0,1,10407,181940648,-735209571,-1492454867,16722797,1645520339,740527457
5,4,0,1,10407,2133129152,-2056787926,220249258,2025039487,-1509659927,-1032917933
6,4,0,1,10407,1823672902,-1122992367,-1513800426,-551551115,671045524,1122544915
