"ialpha","ibeta","ifold","irep","seed1","seed2","seed3","seed4","seed5","seed6","seed7"
1,1,0,1,10407,-1252677461,936624112,893379377,-974951618,1858930343,707514044
2,1,0,1,10407,417392746,-564037675,656436573,1595308919,1055195537,879911962
3,1,0,1,10407,41477728,1792428128,1818927418,-250627073,1909278562,-5800856
4,1,0,1,10407,2054941661,192157390,27519579,-1581528488,1449316911,-1965143774
5,1,0,1,10407,-112142020,-1803805583,-2113001871,347887236,1212464262,52512989
6,1,0,1,10407,-540529914,2091648019,-460067917,-2040713114,-40913091,279430783
7,1,0,1,10407,-472596310,1845006933,223216377,-421075048,1775270865,2059787989
8,1,0,1,10407,-1905546884,79598054,1196121479,-1054962793,-1991042473,-1986546479
9,1,0,1,10407,1460274210,-526641150,1396547833,-440321564,837277053,306234452
10,1,0,1,10407,1262309709,-2077933838,-667481608,-1815075439,840560058,252139103
1,2,0,1,10407,1738307041,-1810082199,-2055076686,-1776211216,2139729423,1279329482
2,2,0,1,10407,4706745,-1366855737,-2119464020,-1105958931,-1872728630,-298150795
3,2,0,1,10407,513095696,114536810,1804876906,1336717465,1829532143,1563028817
4,2,0,1,10407,614973187,-1466507023,730175983,-507285759,1310774515,-1392272058
5,2,0,1,10407,420431044,-383905870,-1196624223,-914802124,2021305919,-1738134552
6,2,0,1,10407,534703717,1207034625,-264739992,1838142067,-256752052,474001706
7,2,0,1,10407,504829771,1508838539,-172955934,346231058,-495025131,294273629
8,2,0,1,10407,1818990487,1524355329,-607401111,-142651810,-1899155606,-145161419
9,2,0,1,10407,-751854194,-1744305218,2086539262,-1877832758,911777102,-1453555436
10,2,0,1,10407,506281532,649448210,-450526411,-1480298330,-870366382,1900789786
1,3,0,1,10407,-918978627,340096909,-1327377545,1178752444,-718098686,1771029576
2,3,0,1,10407,865090596,392099341,465690939,802234375,-532056058,625883106
3,3,0,1,10407,850182455,1556130094,1458505406,322871144,1546896002,-1524700989
4,3,0,1,10407,-771444762,399418197,1904571586,-572813761,385316321,-353909939
5,3,0,1,10407,-354557020,742505976,418938829,-1937396021,445588319,-1614461467
6,3,0,1,10407,488877539,-925411815,1557100974,-622972500,1391423546,-1388220599
7,3,0,1,10407,1257081003,1415864800,-1585939995,1369627337,1227322286,1403225148
8,3,0,1,10407,483118641,104021411,-2145660313,1048980229,228242053,-1457440678
9,3,0,1,10407,-1120624415,2028700953,2120912514,-1509820534,-1854672937,2080878325
10,3,0,1,10407,-1159697427,1911453156,-1292917636,-771247060,-1793635209,-1429816918
1,4,0,1,10407,1395811889,1776423506,168928586,587727428,-1588698667,-1038772465
2,4,0,1,10407,815103048,863469754,-343477674,-354423970,-1212904516,1526132963
3,4,0,1,10407,-1884615,-1747949630,316775800,438802750,595715377,1876085540
4,4,0,1,10407,279687547,-296893896,556566735,641574475,-1076330439,978333623
5,4,0,1,10407,-1586831859,-361025331,654505829,-341612524,-1236915075,-1528047092
6,4,0,1,10407,1105059074,109118134,-571567832,143955139,1904453263,-1140520499
7,4,0,1,10407,-1169948546,-1723893498,-1754702211,-1536222561,-322920775,-1503018680
8,4,0,1,10407,77201091,-1688778352,266819349,354464121,-32121455,1565564619
9,4,0,1,10407,968826160,1582127348,926622948,1127886243,-1339485152,1461056194
10,4,0,1,10407,2029436528,1211410081,-459973678,942097387,1911263168,-166554399
1,5,0,1,10407,-1324266275,-252143557,863748862,-2057990214,-317211254,-1528404726
2,5,0,1,10407,-286710313,-938316334,316461578,-845012610,-326098106,209280987
3,5,0,1,10407,1329121546,1819154772,1422432881,-156396008,1150261969,1999338364
4,5,0,1,10407,-754876874,1281889606,1922735523,1028849781,644380417,-1763855820
5,5,0,1,10407,-1057162980,-1561526150,1643472059,-1889170672,1156790739,250873803
6,5,0,1,10407,-343950206,1116028884,1921583593,2141362703,752281236,453445336
7,5,0,1,10407,1761134643,-1145137668,-400194354,-1480655650,-1104701342,857297444
8,5,0,1,10407,2119369113,-441652863,828773539,-1956399049,1116511725,2095721848
9,5,0,1,10407,1677139956,1538823389,-733987166,-857832377,-1264139782,61073656
10,5,0,1,10407,1692212460,1474150128,-608883548,1319217259,1948249487,1946415802
1,6,0,1,10407,-489612597,-1301773523,1447788229,1631691998,-600307079,-38617911
2,6,0,1,10407,-1110275971,-43193570,-1351515921,1125381207,-1850456167,1427887335
3,6,0,1,10407,-1380916892,1199497939,715153459,-686019734,-625600819,1496615944
4,6,0,1,10407,1517206958,124945170,1489490475,-758716908,-890795833,210532019
5,6,0,1,10407,-1544508412,1038536312,1744971911,-212719961,242669432,1361139425
6,6,0,1,10407,1419169963,1627827564,1386582403,-611316546,1340072704,-739511936
7,6,0,1,10407,1968182372,-1435893372,1604843991,277334683,-618295346,-292763262
8,6,0,1,10407,1241274422,162767384,1246753627,959707328,-921029481,-430365462
9,6,0,1,10407,1628975496,1816190000,-364854377,-57874417,1392534908,1812726511
10,6,0,1,10407,368155604,1904008722,1707576630,-1851887113,1913319799,-1269872806
1,7,0,1,10407,116117075,-1926027846,2027842334,-988208604,-1076347347,1335891554
2,7,0,1,10407,725236996,815979623,12996029,-1805103807,-1401136954,-2146053382
3,7,0,1,10407,1226776531,-1978300398,-895526584,686163171,2102139221,-1144849555
4,7,0,1,10407,-553323144,-2135570796,-810569591,-1514282302,111347370,519858124
5,7,0,1,10407,-1844911466,1746717069,-736228927,367426589,781468732,-645237559
6,7,0,1,10407,1944472929,1339082746,1101261433,672415334,-1056497455,-932314505
7,7,0,1,10407,-404310430,-1408838086,-572793507,2081729101,-1207538958,-1353558923
8,7,0,1,10407,1541497491,1433147416,-18147104,-1383920667,-2049958088,1858868892
9,7,0,1,10407,-1022459166,1579871915,652206182,1199790811,598692705,358600159
10,7,0,1,10407,1219009628,-1905094310,-1474607989,720051942,-167751987,1176311265
1,8,0,1,10407,1067727318,-1884459235,-1597165855,-946208029,-1774368850,662336439
2,8,0,1,10407,1971449545,1481948461,-1319032741,-1110300568,694308524,-62455561
3,8,0,1,10407,1154018980,-894435797,1987272647,1131811644,-19013290,979346834
4,8,0,1,10407,2005996306,1683908463,1521339054,-911986421,-651842877,-2101525694
5,8,0,1,10407,-1145207960,-1232910487,1809333450,-1335019851,-399493554,-170332746
6,8,0,1,10407,2116689250,1745909802,1353032287,-1258443900,1103299216,172539753
7,8,0,1,10407,1595182064,1511232425,1013400038,1734622496,-824374199,1427632780
8,8,0,1,10407,1010170687,-1725305810,-384624093,1975651788,-1168825794,-1270675798
9,8,0,1,10407,1420138591,-1752337971,1661303233,378958307,-310141905,1470690602
10,8,0,1,10407,-1820630348,-1033489217,302645527,2039906208,1606034542,2071910111
1,9,0,1,10407,429003337,1446255848,1134433894,-1982032464,-1411312465,-1601055171
