"ialpha","ibeta","ifold","irep","seed1","seed2","seed3","seed4","seed5","seed6","seed7"
1,1,0,1,10407,2119652250,-288963501,292973944,1826406681,598599174,1291157711
2,1,0,1,10407,4155237,792976474,1073390171,1017532470,-913294677,82005688
3,1,0,1,10407,-97821883,412844235,-1376272029,-1474638080,-1755095995,1681920302
4,1,0,1,10407,777766851,1104920945,-1398410714,-1565741331,343195057,-1154864203
5,1,0,1,10407,637330752,-1811511216,564981990,1179568930,-358436423,-1214666653
6,1,0,1,10407,-1707204635,1558355043,-1257414013,-1815719724,1034514289,-1173182561
7,1,0,1,10407,1358312039,-777315366,652634961,-2097985338,-1477991663,-1441969976
8,1,0,1,10407,-477225105,705139950,-1847951419,-420245612,-1209370630,-964466248
9,1,0,1,10407,-629989254,770157995,-807591020,-1934511103,1817046803,1643481155
10,1,0,1,10407,327613417,-1712191955,-799544875,-1567931327,150449727,620863354
1,2,0,1,10407,-1642265021,-603830917,-568570490,486099233,686222772,2129592602
2,2,0,1,10407,1330197766,-812969442,125855810,-142212169,-2076376101,278541650
3,2,0,1,10407,640256388,1297846648,-732721133,1925241979,823988427,-733625232
4,2,0,1,10407,-47841995,-22761956,715344836,-495146906,-1569860253,755594777
5,2,0,1,10407,-1172511941,-1630066316,545277649,1930831390,1677923029,-1853720057
6,2,0,1,10407,2016071502,892307888,1988220633,-1799931120,655240559,-501975961
7,2,0,1,10407,-1057041942,-1424820800,-1009576677,-1011184125,-1709750595,-434246189
8,2,0,1,10407,801058781,63789858,-1216651362,-1024643007,422393861,-2027794796
9,2,0,1,10407,-332545961,-2018254204,982901294,-1438841014,1731347646,-1456821321
10,2,0,1,10407,-90350724,722462468,-1093148802,1827581151,-1441238418,1019426012
1,3,0,1,10407,-321586035,-1049083178,520778131,-618883121,421023605,-2058801532
2,3,0,1,10407,486606804,1390480667,517456371,375530134,-1245437258,1436838818
3,3,0,1,10407,-1687662122,1007755730,-129711991,-573650640,1066718745,-268551473
4,3,0,1,10407,1709960624,-481149867,-1266743149,654685123,-398538635,-1082348628
5,3,0,1,10407,-1906449340,-1207671580,-1367886416,1718199305,49753493,-261303390
6,3,0,1,10407,-2080985100,-33692372,-2141521668,797914301,1965685410,472258420
7,3,0,1,10407,-1551517209,-1499887986,48787202,-1348363767,-1312088787,424102374
8,3,0,1,10407,-214705439,1938790492,-558097832,-1680251077,604816858,1101030571
9,3,0,1,10407,-108787705,-1954982835,116269919,-1137032464,-1358055561,1132875330
10,3,0,1,10407,-1493862226,-443059829,-898880305,707996728,414635699,-2058382822
1,4,0,1,10407,392727772,1694038526,1190013124,-1061191809,32084081,-1681738160
2,4,0,1,10407,1462875040,-554505133,-2136631254,1707762778,1921069604,-47807432
3,4,0,1,10407,-1791134208,-1559840245,-553439130,-197117723,1679349600,-1980137110
4,4,0,1,10407,1705930374,1778028063,-2077997866,1825137297,1771625265,345496301
5,4,0,1,10407,-2078727344,-1107495902,1859456097,142219063,515901194,633926590
6,4,0,1,10407,1738077262,2064558359,-2052505977,137417245,106517663,-1127389045
7,4,0,1,10407,-1161571684,-585917969,-608228575,1382579208,1814637504,-1165158425
8,4,0,1,10407,369505222,2113892029,-1972347809,-293135860,-1146627256,-1242982025
9,4,0,1,10407,1562811255,-1339686172,1630881470,-1279709518,98046457,1471904387
10,4,0,1,10407,36937427,621697495,-808965923,-183487772,-1085167214,716677361
1,5,0,1,10407,-120816696,1944400535,-1334653175,1056766286,2071101544,-1848841698
2,5,0,1,10407,2127058654,1616533282,-977221131,-841373775,1648612521,853396317
3,5,0,1,10407,-912847171,1302964648,1245819891,-727813275,-1802099882,1261422941
4,5,0,1,10407,323529700,-1136308321,575195491,-565064180,-331658319,-269181139
5,5,0,1,10407,1539828289,864732055,-1300465814,-120334415,1756571395,-270917067
6,5,0,1,10407,1793666220,-476951954,194148059,409885395,2111942299,-1592072351
7,5,0,1,10407,-323501219,-1282306231,-310180040,-2036916304,-536790931,-58439995
8,5,0,1,10407,-363124160,-47573806,-617406452,363620979,657641315,-1350395436
9,5,0,1,10407,-903905669,52623041,-265156235,-443736094,-242502808,-659661719
10,5,0,1,10407,265854126,-1231234636,1715045849,-1180020759,1337083000,-598510485
1,6,0,1,10407,745286183,1139601755,542480737,800115324,2138048963,-999050656
2,6,0,1,10407,-1205658667,2058770483,1228210954,-1692452914,-466068059,1468688448
3,6,0,1,10407,1410694583,-1484108218,832176848,-1298635374,2067934741,-588399502
4,6,0,1,10407,1914407658,2003218204,1648923725,1275319532,-145803182,2042638396
5,6,0,1,10407,103535228,-1278121783,116510904,225890801,277564792,2017752659
6,6,0,1,10407,1752793204,-849461017,1198704010,-1924032485,-634878321,1539294626
7,6,0,1,10407,380322517,2134312008,-1489067516,644059221,-618605247,365733477
8,6,0,1,10407,1773173782,-1623247380,1742383145,1553960351,113931375,-15923838
9,6,0,1,10407,-1116411292,1823961178,60394662,-31943737,-509168983,-377162650
10,6,0,1,10407,795027302,1389679421,-1685117554,1043919045,332718960,1529266200
1,7,0,1,10407,2041731132,1748397514,-86157164,-1750460661,-1855135929,921862768
2,7,0,1,10407,1157163348,950799954,1035120249,-643292319,1665095271,1437011538
3,7,0,1,10407,1311585149,-574667644,-1695397348,-1328249803,1866208882,368991904
4,7,0,1,10407,456503271,-1290893818,411940912,1136188273,1761807303,-7641812
5,7,0,1,10407,-1496757041,-1809044918,-1890599952,547481874,-1366848806,-1619202915
6,7,0,1,10407,1778312462,-1435339374,-719771162,1388333758,2079687948,-1788377837
7,7,0,1,10407,306001348,-560245516,-237047883,-1215734381,796040675,-998646988
8,7,0,1,10407,1751946904,-284910239,1509656419,1855524142,1351210665,264549831
9,7,0,1,10407,1173588925,-157372644,-793712834,1332012226,514873547,1374161946
10,7,0,1,10407,1532646190,484510930,1037699976,-238360278,226011288,1700370403
1,8,0,1,10407,1978880532,-1049513147,1908850250,542562632,1795528824,106398422
2,8,0,1,10407,474287828,1228085823,-472162293,-930883415,1087906788,913064908
3,8,0,1,10407,-563668733,1053205949,1273414713,861294351,-944545119,-1269136229
4,8,0,1,10407,531792787,1539241238,-1213032189,1885309159,-1947338252,592952863
5,8,0,1,10407,1998046264,-2053120310,-1680277602,672143936,1694457267,-1967847799
6,8,0,1,10407,-1112439512,-1219387195,-71888625,-203377263,264430284,-734581741
7,8,0,1,10407,-78721239,-1026150770,696435212,2098403846,598632931,210955510
8,8,0,1,10407,1331784832,-1122223639,1089654377,74077587,712810029,-637124907
9,8,0,1,10407,-1798285992,-171679212,-1168539997,-924754570,245151682,1567186817
10,8,0,1,10407,1489648554,-1569863716,1609086340,1037258057,1514252129,637351998
1,9,0,1,10407,1582397144,-762668712,543403971,449760855,440093408,357674849
2,9,0,1,10407,-853022047,-2089859159,-694027679,2027572122,1970621221,578638584
3,9,0,1,10407,-77131672,249848391,-1550665637,-1461328070,970894289,1234923174
4,9,0,1,10407,-1182584469,253823943,596150082,-892084400,1605179925,-1504162643
5,9,0,1,10407,1219320667,12090430,1448905727,16452629,-1990412258,1154299019
6,9,0,1,10407,1745983107,-150353152,1388987631,-2013971097,1840293213,1240833765
7,9,0,1,10407,-521327663,797815321,1476543033,-145541398,-2125375778,-1561707671
8,9,0,1,10407,1369170537,-617203959,-1269648672,306696279,-468795367,1833941997
9,9,0,1,10407,962161526,778497848,1240280871,278985426,-1889009029,886711221
10,9,0,1,10407,-633598209,311962259,782106432,888767801,728309296,-215073553
1,10,0,1,10407,-624100004,-1520204921,-370834137,1985162044,1580395319,-784632321
2,10,0,1,10407,-1858877577,-6392611,-1917885022,267143678,1336112273,-2108940230
3,10,0,1,10407,947481402,1899566865,-1321768619,-167446634,-872876443,1222473064
4,10,0,1,10407,-163138976,1197983332,-1979280918,1236814165,486507013,-1175979026
5,10,0,1,10407,1099663287,-1925289926,-2133962830,1240975042,1236759714,543764718
6,10,0,1,10407,838065212,-425999286,1209215828,-615609111,774634901,-1187408980
