"ialpha","ibeta","ifold","irep","seed1","seed2","seed3","seed4","seed5","seed6","seed7"
1,1,0,1,10407,411872932,2083138901,-1083662830,887062123,785296048,-1529241871
2,1,0,1,10407,-1144970551,1609670050,792751825,1119794546,-1689013601,961375546
3,1,0,1,10407,-1214620738,1654227073,632174156,1815278615,-1032134655,1607111674
4,1,0,1,10407,-1967386385,-936676956,-1244115923,1760903876,-2045209678,-1381041059
5,1,0,1,10407,-1742990211,306857051,-784835700,2092429285,1830882604,-1338163082
6,1,0,1,10407,664318295,-986171518,1613709593,586034430,1482652532,1698153121
7,1,0,1,10407,1412944181,1680699795,-112397862,1456729740,1818544022,144603213
8,1,0,1,10407,-93654454,170604639,1937089483,493595985,1656110322,519911343
9,1,0,1,10407,-469568628,-385828234,-1279518839,-125049022,-114047199,1903434001
10,1,0,1,10407,439471497,-2109933268,1716265500,-165142195,625015831,-419096548
1,2,0,1,10407,-375804281,-650508208,-1353581390,1481299835,1198748288,-535093982
2,2,0,1,10407,-288570625,1429733570,-199877859,-1257561393,-1248303712,-785202714
3,2,0,1,10407,-1286206910,489968440,-1175759650,-1538997613,2044311889,-1989151151
4,2,0,1,10407,1510646869,1933015929,-1649108597,1413310837,-433554482,-884868788
5,2,0,1,10407,1417630188,600442655,-541126355,1879716177,-1323414134,1867172057
6,2,0,1,10407,-1907032446,-952857822,16306250,932005292,72373238,-715319778
7,2,0,1,10407,-656052175,1538982590,-1237003945,-1528078341,1570336516,-1362294299
8,2,0,1,10407,-1359469547,294358973,1161150680,158952595,1697100347,454108431
9,2,0,1,10407,605622949,1365315222,-99219323,2050615592,-1233976059,589721750
10,2,0,1,10407,1803602612,1795190162,812628547,1796325288,-1638637771,307185583
1,3,0,1,10407,1636728911,-431300237,1336589750,1322952589,-1055156514,-571481024
2,3,0,1,10407,-503799029,1498928175,-1337788236,-121798142,823870307,425669269
3,3,0,1,10407,-469492957,-1481608692,-2136616201,-437543977,966205552,-801235536
4,3,0,1,10407,1864123078,-2045621983,1223819195,1935725473,499935280,1222253485
5,3,0,1,10407,923081163,958855899,-589985126,-164327610,-1011543312,-1751746903
6,3,0,1,10407,-2098889584,-1452184795,69032502,-668702882,331799421,-76072364
7,3,0,1,10407,169102891,-2095832655,1682292992,197600912,-14642733,-1202771299
8,3,0,1,10407,-363984581,1564152188,-1593063857,-779647711,39852477,-2014477628
9,3,0,1,10407,-2116160232,1766618686,817679388,-843861883,406719673,2048585642
10,3,0,1,10407,990741290,-405331055,-1436724072,1636143884,1447044457,-645431069
1,4,0,1,10407,-1138012003,-425946915,808560708,1641082393,-241794411,-648564952
2,4,0,1,10407,902094130,1131207302,-1176333286,1206545475,1693370767,1826671448
3,4,0,1,10407,874935778,365147663,-1522589036,-1436423236,437039981,382295599
4,4,0,1,10407,19543189,2087736548,-1476937379,1910072374,806726986,1217150461
5,4,0,1,10407,1688497653,-1361820434,-926569303,-35378802,1158699955,-1887040026
6,4,0,1,10407,78960596,1922730189,394984749,-1016072676,1215601408,1625153580
7,4,0,1,10407,732558266,2108371197,2144785351,1801709131,-1613358003,561185970
8,4,0,1,10407,-704339610,-2099694776,2045534003,2100397302,-1759883703,-636509718
9,4,0,1,10407,1328072128,-1720376072,720959014,1180875412,1648819169,2106638902
10,4,0,1,10407,1727681977,910261332,1800782068,27177591,1855732977,-2049963958
1,5,0,1,10407,-712874171,-1748045716,475509278,1012235260,770692429,2077515660
2,5,0,1,10407,213436545,948406109,-1310718442,1055264637,10439132,206367767
3,5,0,1,10407,1891522858,-1850466318,-603938550,1169361966,-320772135,460582562
4,5,0,1,10407,-1293368062,124130939,-980962758,-1369542119,1086313435,338339564
5,5,0,1,10407,1796389991,1089114433,601031733,1272007075,-1248629096,498622418
6,5,0,1,10407,582882259,904430460,-728581281,89779224,-1716063552,-1051833428
7,5,0,1,10407,2135222848,-876560868,37326779,-1840805608,2034372217,-1352039902
8,5,0,1,10407,1835721055,-902426642,-441382886,-165135275,1088633043,868852384
9,5,0,1,10407,511020952,981834509,-991319560,-1186897470,-1121384731,-547816541
10,5,0,1,10407,23180383,580125324,1623481129,998292758,1718915290,-1715303654
1,6,0,1,10407,-1928955953,-1691241101,-33570102,-1380765404,776522266,794550995
2,6,0,1,10407,1959531856,-1940624444,-520459458,-1087956760,-1596239844,-1948859250
3,6,0,1,10407,1188805303,-1233171567,1081653550,726862389,27998551,-991424740
4,6,0,1,10407,-1168497870,-1506503498,254903234,-586020416,-1798861852,1515488707
5,6,0,1,10407,1677984295,-1692473807,-58115859,-1519320655,1288183584,-1187168808
6,6,0,1,10407,503918973,1604748832,1493100288,526750819,-1455511419,-1267958007
7,6,0,1,10407,1722209184,-273823865,-2109490137,-764362303,-1941107884,-1325294681
8,6,0,1,10407,-1321686159,1596190100,1569024066,1536779853,-255592871,1902523685
9,6,0,1,10407,-1250301093,-475643622,-1925735067,-1928673859,1212339857,1235423840
10,6,0,1,10407,108762473,345636474,1180083389,-321621099,1460141532,1612823395
1,7,0,1,10407,78488376,1382110783,1179177096,308816689,-1534854953,-1455605172
2,7,0,1,10407,1150446421,-1741507379,1090840234,274156389,-146376069,-455251306
3,7,0,1,10407,1127907947,1359840053,-1260707349,-1364596571,-861042654,-1667383433
4,7,0,1,10407,243398351,1504420036,954612010,2099625288,-1089888696,-1723303579
5,7,0,1,10407,-1086904249,-135820372,2048732341,1064443010,2116239531,-738270509
6,7,0,1,10407,1624708285,-814271899,870590275,984064630,-1640663750,1588649973
7,7,0,1,10407,-490312297,-1528414455,1663096314,-360721931,1849181340,715902645
8,7,0,1,10407,755664250,348169588,1036728876,1814552609,-1248293570,-1801584034
9,7,0,1,10407,-1226286744,-845151809,287324599,1307019803,1887359227,-276224771
10,7,0,1,10407,-1789423310,538068254,-1910971283,817044815,1241246262,-868063899
1,8,0,1,10407,-770914899,1963875958,-1118999657,-792178312,1873041065,-971714786
2,8,0,1,10407,391763938,-1615387372,-917126666,1276953115,-173232446,671616004
3,8,0,1,10407,-440206498,1712101552,-1357208367,-1558476324,786374582,1309153962
4,8,0,1,10407,1927053964,-648538239,1349792110,750496939,-505681378,586106641
5,8,0,1,10407,1287762030,2023237764,590972411,360174719,-713006162,1406950490
6,8,0,1,10407,-1434143254,-452995625,-622548767,-1177116932,1524441217,844245198
7,8,0,1,10407,525137970,-782250265,1803280624,-531233971,2024596486,585621824
8,8,0,1,10407,1734257391,1489478392,-1552302625,-21379469,566953301,-1489130301
9,8,0,1,10407,-1339365222,770412661,-1165790572,-2047990201,1532223435,2073482281
10,8,0,1,10407,-248530118,-1137151708,1597428096,346718512,1449425466,1592848358
1,9,0,1,10407,-1646829842,836372330,-1498174713,1571824649,448358735,-994457689
2,9,0,1,10407,1821226728,-1451916065,66957896,-902612445,-216580159,1639028852
3,9,0,1,10407,-2056255452,-96124556,1669358571,-491290203,-1467216267,638915884
4,9,0,1,10407,228729255,-182795268,2092807775,-1917269327,1582862505,725781537
5,9,0,1,10407,-616465613,1909318409,-69845666,819735106,2130114741,-1273455486
6,9,0,1,10407,-873255859,1781784428,113756443,1734100696,2116118813,2043280260
7,9,0,1,10407,-669611942,-1796503096,-605310978,1938995574,-1824623903,1089234902
8,9,0,1,10407,1137526801,659345434,-1253102457,-23816835,-1203792135,-534339616
9,9,0,1,10407,973723486,73505355,866945271,209932405,1055886454,-1719582195
10,9,0,1,10407,-1342410385,699232757,1052263176,-148621261,-1777270534,1131204859
1,10,0,1,10407,2120509102,-1094443983,-72537004,755264769,-536903090,-661400337
2,10,0,1,10407,-1813065825,744476060,-1596200527,-1498958344,-816364101,1548838579
3,10,0,1,10407,-329112855,1496078104,-201295151,-747946220,-1030870216,-1061127085
4,10,0,1,10407,-1506990896,1710688744,691340156,1441575610,1668146313,1229468247
5,10,0,1,10407,-1257803571,794637097,1848087801,-987711227,628161052,-1898063957
6,10,0,1,10407,-2103218983,-1300532539,-1866979476,-1613685151,-307245611,-264566575
7,10,0,1,10407,-1235632185,-870386541,-1237900163,-663402361,-979686135,1406133444
8,10,0,1,10407,1777924238,-164403753,-14164214,-527363060,622298492,1591667383
9,10,0,1,10407,1071557663,311996895,-1846578534,483893954,221827334,-843055852
10,10,0,1,10407,-896531378,-1497149761,-1137351367,-294652183,-1143937587,-605773203
1,1,1,1,10407,-433422817,-585895376,1817932142,25021872,-1702160463,665601612
2,1,1,1,10407,1111300220,489736320,1609381966,60931375,-118381468,-570622853
3,1,1,1,10407,-634645703,149994882,-850294425,-1332083748,698055621,239359423
4,1,1,1,10407,958989504,1537881625,-1869604262,-372948210,-1163296693,-1275362513
5,1,1,1,10407,-650124910,-10033982,1867562698,-850232443,-1180681935,401878002
6,1,1,1,10407,-1370770747,893849495,1752011666,-986156829,-1142394067,-628417100
7,1,1,1,10407,288295629,-326132540,1708801250,-1336415282,851486832,1871458148
8,1,1,1,10407,1388163336,2077786705,563571552,-478387013,530622555,-1080782141
9,1,1,1,10407,-419266126,1000037450,1328049853,1702275552,2080902330,188391584
10,1,1,1,10407,1941207314,1057422721,-1536843482,1485909534,145582723,-242146663
1,2,1,1,10407,1223544059,-1308753788,-268170399,-374631141,886234050,-230425349
2,2,1,1,10407,1885712722,568163202,1083428408,790679321,1026941057,1599184663
3,2,1,1,10407,-949439133,-546685335,-1280711914,553389376,-1911724068,-288827601
4,2,1,1,10407,-2055110421,-1860626186,1244324265,-466797224,-1349104622,35217789
5,2,1,1,10407,-766767485,411610672,-479023899,1612271002,-216139718,-1719351986
6,2,1,1,10407,-562348140,-149342576,-2120909170,1952892509,-1642510634,299206836
7,2,1,1,10407,-1534335661,-1164682110,-1458583767,827918418,-1264910734,2122358699
8,2,1,1,10407,956315936,617705683,-1873494797,836547428,-976305427,-626656164
9,2,1,1,10407,-468946416,1646575941,-652726708,-1572678663,-1254949625,-743144883
10,2,1,1,10407,531900051,253276920,-554160694,-885053473,-280925907,-543313452
1,3,1,1,10407,612698055,1259792398,1083622386,-910003367,-311676293,-535801974
2,3,1,1,10407,-1875313972,1359840598,-147224907,-933032811,-548497634,-685967754
3,3,1,1,10407,-810209381,1291907263,968478968,-992217153,1661951269,1205927578
4,3,1,1,10407,506494295,1583321662,2030653225,474481865,147013423,829968989
5,3,1,1,10407,-1894505126,442774481,-119333608,877550168,-421876435,-336425201
6,3,1,1,10407,71383752,1598128399,-1017713679,1072039026,-6334147,2144084460
7,3,1,1,10407,-709509791,1109332481,-128896583,-816928784,515411601,-1497329052
8,3,1,1,10407,-1468743019,-1444523,2002139097,-250860251,858458816,-422944203
9,3,1,1,10407,-1262079594,-1930937753,-1515109781,-481606764,-1667409346,-1235242849
10,3,1,1,10407,-1914337963,771358101,-700432446,-161185728,-1619726451,-1766575315
1,4,1,1,10407,-792004233,1270380111,204606126,874579745,-90318404,-1426776617
2,4,1,1,10407,2025900276,-1437851407,-1782392593,-1299389570,874082491,492671435
3,4,1,1,10407,331986773,-1171116288,682780071,2026739927,-591252515,-2075373539
4,4,1,1,10407,-1235160610,-1229194189,870026500,1011663543,-1682146866,1674100248
5,4,1,1,10407,1976798628,1972978727,-1532928456,1649734369,1132876610,-1579481411
6,4,1,1,10407,517893506,1032994072,-1792989792,-189804436,1526757948,46050752
7,4,1,1,10407,-1539093103,-203977261,-1060047978,1528446051,1005256843,1209046269
8,4,1,1,10407,-787732021,81046702,128667949,-319564659,-182517433,-482906103
9,4,1,1,10407,-1620715238,-1173250166,-1814354720,5753835,1623301014,-49869611
10,4,1,1,10407,-1133178279,-1664713545,1643075448,658038365,-2145520599,-891956542
1,5,1,1,10407,676461172,-1866855528,-612196407,1439705928,1484624445,-2126856868
2,5,1,1,10407,1752436271,970671433,-449688763,-1193407850,-1102695386,-1505316177
3,5,1,1,10407,-1714779553,-1653359830,-1790805290,1368046289,-1280300092,1556132687
4,5,1,1,10407,-327700985,-1779537508,2079814625,-131111251,1861527603,301080741
5,5,1,1,10407,629754890,-386372684,-725953821,1844738956,1153130932,-1598670835
6,5,1,1,10407,1349570692,45039149,1236918535,451595324,1644272643,-469426643
7,5,1,1,10407,-1917828538,-78975924,503739679,1341512675,-956607263,1667243646
8,5,1,1,10407,-1685057882,-1686384537,-1856526065,1301792910,391408392,978320554
9,5,1,1,10407,-1836919300,948439976,-195396943,379868604,-366019048,415963572
10,5,1,1,10407,-658872546,-196583472,1079850039,758075421,-1879227105,1688524207
1,6,1,1,10407,1824650875,178896962,-1860314597,-1957577799,2014271398,2008470646
2,6,1,1,10407,1869184597,-480218336,2086677156,-917394809,-1693284162,-311216259
3,6,1,1,10407,-140771469,116294150,-746629029,-1569417169,2020311341,1648128171
4,6,1,1,10407,622476559,248631589,11568891,2115113481,383818762,-1617626539
5,6,1,1,10407,184248810,-949952635,-89851340,-696792759,-741289601,-466157981
6,6,1,1,10407,1991494048,-114109280,1496254388,-4208230,-1754233316,212875333
7,6,1,1,10407,682175053,2094895696,394482512,837340113,-715353344,1737338612
8,6,1,1,10407,-784605635,-1780107277,1181781068,1525823378,127745255,359444586
9,6,1,1,10407,1521898576,-2115050412,95526674,1769632424,-732527260,1975101869
10,6,1,1,10407,-1196636156,-186896224,1327724059,-107913593,2004882404,-1471206480
1,7,1,1,10407,-830708811,998253697,-520592199,751829780,-367459597,1299332102
2,7,1,1,10407,879394557,-957838977,1071473769,-1178577980,-1818491174,1067307170
3,7,1,1,10407,-161417331,-359666316,-1851226529,1104986717,2084025076,-1581163811
4,7,1,1,10407,-2141954444,634030934,927995836,1437875454,-1467554667,1396889502
5,7,1,1,10407,-124142853,1477408318,375948508,993191010,-513387687,-206890248
6,7,1,1,10407,167902243,2015039565,1532341007,-1921124084,-1203757599,800514021
7,7,1,1,10407,671753131,464598631,-1396411905,1053965482,879531945,1359667038
8,7,1,1,10407,1401825186,-321882031,1977114086,635528240,-1249421925,141103287
9,7,1,1,10407,702305769,-629217642,335545045,-1666336526,-1101924237,238417242
10,7,1,1,10407,-978320590,-835751788,830245592,1576756942,1481898622,80252600
1,8,1,1,10407,-1418238552,-1840915542,-1908993540,1528241027,-2030354409,1137862375
2,8,1,1,10407,-1978424946,-1066004333,5827444,2051306191,-2056506685,639560332
3,8,1,1,10407,-1725408679,-371697773,-571699331,1134642730,-1621107515,-853666420
4,8,1,1,10407,-1805377577,164449597,1794459272,309726782,1268086776,-1194464343
5,8,1,1,10407,-213767951,-751351353,1529184240,-247652791,1688610733,252135693
6,8,1,1,10407,-1350771308,-592143669,1168167850,-1378586256,-1118507267,306813355
7,8,1,1,10407,-1929679181,-2028731227,1083895754,1724997375,-904798732,-287292858
8,8,1,1,10407,-823927790,1729610597,-438672407,-877452317,-1179177685,1177929364
9,8,1,1,10407,-2114914291,-1587053822,-35981472,1926367205,213320842,-1742071680
10,8,1,1,10407,213627742,-730434972,1149631070,1978233879,-269472698,-852106936
1,9,1,1,10407,1871634462,1994543173,1431409402,-1882075256,-342088698,-567999335
2,9,1,1,10407,-1863654458,-1170681889,259642573,-1988072392,437152585,2045177162
3,9,1,1,10407,-1508878027,1763740938,1465591026,-1153829308,-314420046,926322427
4,9,1,1,10407,2115869520,2093897023,-1175376815,399997138,1671814279,1690403638
5,9,1,1,10407,253217391,2058402495,1515063552,-2055095652,-1635733449,-58625812
6,9,1,1,10407,-1376871267,-97623905,-818909722,420198291,-1526184089,-550912246
7,9,1,1,10407,312817898,-70285397,1541757800,1742246485,-868518637,-1054743883
8,9,1,1,10407,296901723,-1082703505,505867742,-509484316,861635819,-1184099167
9,9,1,1,10407,1307285502,1766041297,1917241001,1990193715,1082551537,1460033435
10,9,1,1,10407,1416286607,269057049,-875740932,281069618,-1206989547,1568567833
1,10,1,1,10407,-560527036,-1281537862,-846656648,-505781053,1700517258,-1056660678
2,10,1,1,10407,2046314563,1290606806,65485554,-491849393,-2006926594,1534288117
3,10,1,1,10407,-1308343517,-1043983840,-2005539049,-1617222763,-823184073,-585619457
4,10,1,1,10407,607556890,446581146,618898320,932956696,-12892922,-323060831
5,10,1,1,10407,1817462796,-1587030808,-643842327,65467936,-70318038,909069946
6,10,1,1,10407,-588033326,-1909375314,1399178822,-277364619,322397114,-1844573664
7,10,1,1,10407,-1839196761,1621799307,-157541760,-1937663499,-2079060928,1136864907
8,10,1,1,10407,-169191362,-1210366932,1779525972,288788981,173735507,-2032501713
9,10,1,1,10407,732841683,38244472,-930249590,914089342,1023400665,1781434536
10,10,1,1,10407,-1161152479,1555591726,2110070986,1509082953,1908639929,1803793567
1,1,2,1,10407,-652602307,-92923937,-1553632419,891318829,633577273,1669523447
2,1,2,1,10407,1252853019,43181054,-1054817925,-2116362769,-1817335881,-161093064
3,1,2,1,10407,1752943748,-1003559154,-1470647512,987907324,1580728235,2090462288
4,1,2,1,10407,118847748,1929096491,-645966965,582801484,1380907999,399539150
5,1,2,1,10407,1437688140,1248462441,1542835625,1966013633,1977789674,101003157
