"ialpha","ibeta","ifold","irep","seed1","seed2","seed3","seed4","seed5","seed6","seed7"
1,1,1,1,10407,105276974,-4314921,-1674535124,707834429,-196553766,619558803
1,1,2,1,10407,1566292461,-2023197519,-1689418780,1609708207,1600257244,-1962355134
1,1,3,1,10407,1768285433,-1886265929,-431871670,82686629,783868490,930491169
1,1,4,1,10407,-869058660,384694771,1060730930,784642515,1869137325,-8454361
1,1,5,1,10407,-1538876698,886308415,-1650029112,978832400,343962152,280818004
1,1,6,1,10407,-553690900,2047378297,1440816989,-419844330,-1855809384,-362870401
1,1,7,1,10407,1273640774,2045963243,-1466353243,1355584447,344231995,1070861170
1,1,8,1,10407,2072123008,-983878663,-828488287,476958502,785451044,2123801441
1,1,9,1,10407,-1800918447,648989106,1983705342,797344847,1617995658,1300964016
1,1,10,1,10407,-1801588307,-1275731837,1819454852,-1680343723,1760865822,-1813992916
1,1,11,1,10407,1781236786,479079138,1855428008,5733203,1906006482,182298599
1,1,12,1,10407,1516613177,-1365452374,423292188,-458815222,-1747657577,-342831791
1,1,13,1,10407,-170692290,1879954796,489036248,559964492,1731399144,-564653946
1,1,14,1,10407,857569545,-889406474,-1198497812,1500310087,-756141211,-1490540219
1,1,15,1,10407,2124398990,-358010717,351944399,602655363,-1677242781,1407005655
1,1,16,1,10407,-1378067382,-941720704,-1200621770,-819062589,-1981238258,823712189
1,1,17,1,10407,-135902122,-1097828784,-430283885,489854137,-1685086625,947428005
1,1,18,1,10407,492536580,-1653588823,-320013888,1375574258,-2143718030,499938705
1,1,19,1,10407,-740840003,725570827,-621599896,251566882,-768223139,656017626
1,1,20,1,10407,-920895641,-602803871,-1319980544,-163399467,829675851,1801280582
1,1,21,1,10407,1040017276,795760419,548696876,454799917,351095426,-1515025203
1,1,22,1,10407,-954719534,-1510789237,-488187093,-772676231,-861045442,655427033
1,1,23,1,10407,-490555644,-286773451,-1484785550,-1198066400,-492956574,-1299530913
1,1,24,1,10407,-2110600644,429322097,-1408675941,-1997851509,636057486,297068866
1,1,25,1,10407,1445556707,-319776409,-699526318,-516684020,-38616950,1459270296
1,1,26,1,10407,568433238,1192446607,-1514875916,-514544352,-49745656,1262878375
1,1,27,1,10407,1509772851,-1801479621,-851178495,647326943,-786738125,935782426
1,1,28,1,10407,1172898952,-1887511378,-1822514003,-1890579926,-137723116,-1487238300
1,1,29,1,10407,-1221268206,632505818,1133081483,2073429468,1222693133,-1367722908
1,1,30,1,10407,529266821,1223812692,230312237,-420347622,1715533871,464961988
1,1,31,1,10407,-1456054207,-1117016047,-1442629080,-853846336,-895822509,1964231793
1,1,32,1,10407,1136665884,-68257286,794194562,-639125235,1302031102,905250605
1,1,33,1,10407,-2139691837,-76974166,263790262,1729761315,-1586977597,-1719388097
1,1,34,1,10407,-597573569,314147109,514237504,-186593573,-938582674,325615880
1,1,35,1,10407,967196789,1230070117,1861120166,1974922725,-861049443,-694821934
1,1,36,1,10407,952770807,2016487801,1396061241,-2088014273,1168498467,552303442
1,1,37,1,10407,-1618861260,-425274543,589362753,-1651359674,533504056,-1342404212
1,1,38,1,10407,-437725275,-188018505,-703985617,-733768803,1635381107,-385780289
1,1,39,1,10407,-1479845657,477781803,-1714367554,-1269825683,-1557460764,-58151421
1,1,40,1,10407,1767641985,-1451240306,-680331577,-192280762,-954716450,-1802744930
1,1,41,1,10407,508268648,295727120,342350358,-54522239,101433085,849304724
1,1,42,1,10407,619061068,702276660,-1868024635,-1545680018,217120380,-1874869607
1,1,43,1,10407,-1617793771,-1385075542,1281759794,372050359,-330346854,-331193456
1,1,44,1,10407,5974395,-1207479684,825793108,2021919119,-691039306,-613307301
1,1,45,1,10407,131787452,1622561464,-491233375,-1794483562,-1099216655,-1373686398
1,1,46,1,10407,-1193740267,334274727,835481651,831857433,-2112836767,514289559
1,1,47,1,10407,-191379939,-146964128,107492332,621231497,1214491828,1941793817
1,1,48,1,10407,233397396,1892758868,-1659631272,118806049,-1258599720,-1411383602
1,1,49,1,10407,-447648462,-1420263196,-840854668,1076103906,-126505097,-338776125
1,1,50,1,10407,-1129222420,-2112704850,1356829353,1548416787,1135199992,671732811
1,1,51,1,10407,-1585091720,-1219574003,1667095228,1932175102,1432819157,-1496534890
1,1,52,1,10407,-1160805882,1201414381,870742963,-1511427981,-2016528727,-1338308880
1,1,53,1,10407,-244691674,-1522096040,-498858830,1233590357,-557520126,-1008688701
1,1,54,1,10407,1545192767,1134986904,2130631109,1952433201,-1124203633,-843549098
1,1,55,1,10407,980575255,-1649352319,2141788865,1317081296,1942729416,-310957411
1,1,56,1,10407,745955979,1210233913,1743295846,1349980158,-142751220,1264955174
1,1,57,1,10407,1456588021,2111962353,-999269673,-866395265,-296742908,-367832933
1,1,58,1,10407,1396632199,-497373369,731392916,-1163879585,2133798679,409131699
