"ialpha","ibeta","ifold","irep","seed1","seed2","seed3","seed4","seed5","seed6","seed7"
1,1,1,1,10407,-406509446,-999711821,1093453144,1010270073,-1989986074,1195261487
1,1,2,1,10407,-116789911,-920654422,1945900185,1198567315,-2069591515,-290231852
1,1,3,1,10407,1231235036,-270917088,1090288003,276853100,-940321334,1025244162
1,1,4,1,10407,1071460616,2084706671,1180356342,116566700,1735333245,433298119
1,1,5,1,10407,-1655865873,1801741776,-1848382875,-678479223,-434739055,2073814687
1,1,6,1,10407,1651471948,679764902,-787301972,150792962,1469246344,1569283588
1,1,7,1,10407,755701592,670388296,-1999624212,-900840188,-717459677,72956155
1,1,8,1,10407,-140531910,-775662281,837408490,-1074693191,-87298465,-1859026181
1,1,9,1,10407,1771395780,471229554,1204963320,-1110414342,878134004,44691171
1,1,10,1,10407,-1696681532,1782871361,-1408445043,-392391301,-839953677,75451742
1,1,11,1,10407,-1872209498,-170415031,1493775032,1554290206,1587293201,1879952773
1,1,12,1,10407,2141255508,2010151658,652387466,1603890117,362223344,2118584556
1,1,13,1,10407,1001433359,-2138654283,-1309705751,370654885,2120268030,-776155146
1,1,14,1,10407,1152472719,1850102385,2097109896,-809657223,-367519842,981277307
1,1,15,1,10407,928483127,1095603410,482715582,1429623392,-1263293724,2141696017
1,1,16,1,10407,-711923151,-872092728,11768019,60992863,1837167701,-1643555695
1,1,17,1,10407,1134416081,1375517733,95527293,-1817909459,581259990,2145352036
1,1,18,1,10407,-920640873,1960164183,-1613669267,-680965648,301953759,-1939628691
1,1,19,1,10407,1462948461,-45952904,1790190771,-156805241,1759470429,2119065133
1,1,20,1,10407,384587417,-1008123340,-1866543835,-2108402461,-1481730025,-1586530915
1,1,21,1,10407,-1532808342,-1590585683,-359033698,-1396086430,997470463,2016034377
1,1,22,1,10407,-572216038,-2086163945,1513634779,-1814706208,-912937450,330672347
1,1,23,1,10407,-2090304345,1008202443,-517478030,-1286935030,351568487,1511067567
1,1,24,1,10407,-1972534834,39260528,-642202483,-2049925269,-972570461,1838297196
1,1,25,1,10407,-417261627,1243103241,-1947899736,293850853,375278826,1040957340
1,1,26,1,10407,686676213,-2070329336,949571191,-951854030,-3990692,-930869187
1,1,27,1,10407,357130347,1144299415,-145195401,-1547525466,-1889966739,-1956224219
1,1,28,1,10407,660631512,1333171760,1002466382,-315358197,203564366,-625705793
1,1,29,1,10407,870928178,-91494360,-1534853528,326586613,-1285703105,8643629
1,1,30,1,10407,1764062583,-1609992698,-36928929,-536901243,-1051596148,1050189509
1,1,31,1,10407,-244398518,-2042238611,-561775181,479579323,-1035770441,1849120967
1,1,32,1,10407,2116136653,-922264589,-381122871,885017829,180982167,-126009285
1,1,33,1,10407,1343176436,171345664,-1085157751,-948462745,1756326180,-65169596
1,1,34,1,10407,774211701,1277553578,979040564,-217829382,-544287336,-342173640
1,1,35,1,10407,1904022079,-1885974284,1543765953,-607796316,-442988829,-1513165727
1,1,36,1,10407,1529451894,-524073250,-199972995,-1490187212,1359784072,-1812827122
1,1,37,1,10407,1922314580,1900003940,1557367493,70834488,-418342522,109881777
1,1,38,1,10407,-1724075263,-1994732519,-1840811743,-80633366,-1799888655,-1814348614
1,1,39,1,10407,-1452746224,1519717766,-1583334542,-1390851323,1920234156,-374476944
1,1,40,1,10407,-1916181386,1086331039,-1552844727,-1469765387,-1558692624,-608566738
1,1,41,1,10407,1341308074,-1807383420,536028468,-958455269,1919247746,-1970859282
1,1,42,1,10407,-724802017,-269642847,1984859772,2093318244,1389336326,523279157
1,1,43,1,10407,756868032,-1284550637,-1237427348,961191018,-956537414,-1806385797
1,1,44,1,10407,-1283606653,-1937429720,570636665,-592488177,-1907472325,1484522995
1,1,45,1,10407,1855565936,1706556247,-1674894445,-1263040732,2034611039,1058110417
1,1,46,1,10407,839895264,11791446,-1490466855,390868955,237326489,1066360326
1,1,47,1,10407,388763088,-1401248765,303636568,-1628045399,604940715,-1845122649
1,1,48,1,10407,845792447,1347723080,653629795,652331064,1001460990,-1520928983
1,1,49,1,10407,-692173099,-267419173,-1113238045,-172099865,-568390553,-1308165278
1,1,50,1,10407,-1412498613,1170419305,-1940073229,-1236375298,942732925,1974331953
1,1,51,1,10407,-1932936572,-947315319,1252252837,-1135382820,-643617576,-1159420261
1,1,52,1,10407,935019201,-1422184381,-1731157064,916508188,984371350,-523582942
1,1,53,1,10407,412745579,-1706394869,1826025256,-1968208191,-1400048143,2055618010
1,1,54,1,10407,13624368,1026707732,1730505847,-177714841,1173150364,-74498889
1,1,55,1,10407,-784455512,465664325,1796669134,1742369278,-612216738,-1731197851
1,1,56,1,10407,-318284421,-1676361712,403879520,1486489470,-1027607088,1249882973
1,1,57,1,10407,1163316208,-1749735587,-430863904,476078873,1434552410,1067146806
1,1,58,1,10407,1014177211,477001867,734251588,1792346895,-1289279023,-1872489102
1,1,59,1,10407,-1445078724,-549668402,-1215017699,2068197467,-1104877617,-793769318
1,1,60,1,10407,812096845,1445132545,737404229,-1532072811,1896782362,810124421
1,1,61,1,10407,-540249609,1783964569,1530922089,2127348829,-1890414997,-1267607454
