"ialpha","ibeta","ifold","irep","seed1","seed2","seed3","seed4","seed5","seed6","seed7"
1,1,0,1,10407,1251470025,1566324726,-1448718849,-1709086668,-2025908827,-1757235678
2,1,0,1,10407,-2077000873,1044916957,360784701,922779145,-1214612922,1576605639
3,1,0,1,10407,1945909117,-1729351838,-1822169919,-688916913,1225639049,-2053127421
4,1,0,1,10407,1950024571,-746511631,-1599568046,1044566540,1636468555,-2104334508
5,1,0,1,10407,1572865466,-547046948,1686163151,-2098092546,-25301835,1329411027
6,1,0,1,10407,98378516,-1928549609,1489277603,-441824140,295182924,-1187879332
7,1,0,1,10407,-122496474,998540250,-1670596418,622440094,2142781108,-959543074
8,1,0,1,10407,2045295165,-1610908762,-1262770254,-2023178851,1420924100,-1485596154
9,1,0,1,10407,-1686594443,878345425,-1677169795,-1778500869,-1404110316,-1108693806
10,1,0,1,10407,1090585832,300460731,-465463370,1833487746,2097829635,-674960567
1,2,0,1,10407,-972494141,341409073,1019018377,615367767,368684698,-2007014703
2,2,0,1,10407,-1660410393,823384606,603592358,-2064409095,-133361596,-179840176
3,2,0,1,10407,2061090429,-813228885,1417209926,-1296699791,-1777404375,-789669690
4,2,0,1,10407,-453283967,-1083902579,-1211896832,-1393506144,-1153100651,-786150635
5,2,0,1,10407,-1565114028,-673224878,360839915,-753310749,-1801263966,-73156399
6,2,0,1,10407,-2146177563,714207113,1151533184,-577026919,669326921,-1866328361
7,2,0,1,10407,572799880,2139385710,356134365,1560855324,-758438356,-1574001874
8,2,0,1,10407,-286050586,-1632383243,-1939217377,1738094835,-432797395,2052590438
9,2,0,1,10407,-956957986,1969163572,226703397,-1064833214,315955873,1608666548
10,2,0,1,10407,1591334965,1548316677,250491589,-457073186,-787131748,-237793065
1,3,0,1,10407,-836191937,1976993020,-1804634883,64845039,-1344926440,117079038
2,3,0,1,10407,-871900093,-2008461062,1693659693,320499344,2117523040,-1745769093
3,3,0,1,10407,-1246470581,318570405,-734102987,-2114986661,57660301,-756048577
4,3,0,1,10407,1677636087,-1507237080,-1773677770,-1267811648,-1764566811,16172034
5,3,0,1,10407,384320452,927172857,1121258982,392129294,468363133,678601890
6,3,0,1,10407,1384276941,637499816,-225461822,415397833,-1465440469,-808199435
7,3,0,1,10407,-1222840290,-1807497229,-232012271,-1484730886,-1713924663,131806675
8,3,0,1,10407,-1519531014,1893177023,1485653323,-1151592979,818540507,-1650445291
9,3,0,1,10407,817489805,217794540,-593151710,1696362658,1653112393,164364281
10,3,0,1,10407,-1903377439,-1866134555,1140689152,-661723199,-455283968,-1642356509
1,4,0,1,10407,-795468546,-1075161715,-1177772665,-657388524,-1518472063,-548271620
2,4,0,1,10407,285347984,468329440,1499563934,1636900396,-179585111,763699477
3,4,0,1,10407,285079550,-1024891627,-130469263,1939264490,468320204,-1018846205
4,4,0,1,10407,2025360562,-1578800993,1140330464,-218797485,47763961,858371037
5,4,0,1,10407,2079521183,1453314955,-181136134,-958578576,-221530117,1895879340
6,4,0,1,10407,1541449403,386858623,102985063,-1856081562,-1253802980,-1013300205
7,4,0,1,10407,1329261767,630198120,-2085514598,-1099057347,1278932071,-1912329282
8,4,0,1,10407,2045444589,-1255352564,1574135056,1799904175,-471779883,-196072813
9,4,0,1,10407,2055198136,-2043229890,-276171506,910046453,-714031244,931794231
10,4,0,1,10407,74558472,-1679184504,-488209863,-1289357652,-73620834,-1777724200
1,5,0,1,10407,-1209036347,754479669,-548475810,148657269,-1381657997,993106924
2,5,0,1,10407,982826888,-1109979639,-95731335,563271691,-1150573632,1990169655
3,5,0,1,10407,-628483434,1264068606,1297123015,-701223021,1998195521,1710922608
4,5,0,1,10407,-1666456268,1330739325,1177522604,39540570,-409426370,1540136342
5,5,0,1,10407,976217002,-456960093,-26011591,-1958383742,1974265188,61390247
6,5,0,1,10407,1508339507,-1428613118,785750729,-2143952912,1059546814,1288510136
7,5,0,1,10407,1416371957,1684653592,839879613,739067532,-209314010,-1329919303
8,5,0,1,10407,1622021819,1799502778,-1241735782,-762936120,-1555271070,-882950190
9,5,0,1,10407,596842753,-735790004,1900069922,120387956,689187744,-1108784986
10,5,0,1,10407,-540819482,1232616575,-128489309,-345981379,360037824,-12282431
1,6,0,1,10407,2042362919,144130054,-1718064031,482728176,-1821127968,2070143300
2,6,0,1,10407,402653824,-1837007585,447796290,1582724278,-1048319080,-568226532
3,6,0,1,10407,1383920497,-463975278,1874123155,495207378,307944951,-915188004
4,6,0,1,10407,729881683,-1354283890,-1484432077,1400058467,1079738865,905797032
5,6,0,1,10407,1827792841,-474733639,-657060454,-519115191,888269952,2138347833
6,6,0,1,10407,410861778,-1022905266,-1628914813,1407509850,2000113995,-1997121936
7,6,0,1,10407,-266359834,-311885419,1306305754,-872627720,-907261162,-16188421
8,6,0,1,10407,-752782296,1467168422,171880340,1700707284,-865566867,2067287801
9,6,0,1,10407,1951054356,-1939723911,1784997238,1372209786,1681631022,-1058591259
10,6,0,1,10407,709267636,77267077,361566019,1566476782,-53510665,872661595
1,7,0,1,10407,1579276908,-398855102,1885387748,-1304372539,-2067195653,2108662404
2,7,0,1,10407,-2108553528,117230932,-1238586750,5359481,46775370,-1728335613
3,7,0,1,10407,1628461757,-724521901,1122870784,1605706661,448856412,65653295
4,7,0,1,10407,-477571283,9024383,31658146,-2108416308,1931514334,1171642448
5,7,0,1,10407,-1089040745,-2133768414,-922627321,-856202439,-1794263366,-417476164
6,7,0,1,10407,-689885406,1079443409,-303326438,247496200,-2013458619,-499122751
7,7,0,1,10407,2009855400,1237380291,799624901,-1657281209,-156069785,-411017785
8,7,0,1,10407,1578552801,-759468026,-624075206,-1602003076,-1578265972,-57757653
9,7,0,1,10407,-1571568003,1779705952,-719739574,1514265663,399041241,-861004815
