"ialpha","ibeta","ifold","irep","seed1","seed2","seed3","seed4","seed5","seed6","seed7"
1,1,0,1,10407,-1213994295,1274558454,-1466806785,-1189255116,587928997,-1247889886
2,1,0,1,10407,466346272,1359179277,-628983841,643743327,20371833,-1913855568
3,1,0,1,10407,-1045083040,-2097209477,2008476653,745543454,457285134,1653771169
4,1,0,1,10407,-1871091124,-324630835,-1945167774,158984926,1988610014,-341476415
5,1,0,1,10407,-1351636992,-2074121044,1162210315,-2053724544,1506442354,1811659959
6,1,0,1,10407,1775789691,-176452519,-1114756084,1606280909,-2134682978,-395984234
7,1,0,1,10407,-2090407502,1343288963,-1468940363,316928795,1765660298,137697701
8,1,0,1,10407,1340592332,416330783,901396642,-1724409583,-1921418148,607975216
9,1,0,1,10407,1321651324,-386121862,1563501674,-491894350,-1608107503,912562547
10,1,0,1,10407,1914616451,-1597727898,-562477945,1996037971,-96879074,529953895
1,2,0,1,10407,-369542690,-1734893697,1107974119,-441473540,-759197046,952252713
2,2,0,1,10407,499380800,390253428,-954942138,-77926602,-1557493953,-587962497
3,2,0,1,10407,1832296106,-451645229,1308273464,1131846715,-1111701936,-261960502
4,2,0,1,10407,556737400,-1348362724,226483188,193336070,804964522,1350792862
5,2,0,1,10407,-775884639,1492841799,216449358,934985131,668353034,1176635003
6,2,0,1,10407,1712281004,-204805922,-1873082494,139003950,-1673738759,-182952286
7,2,0,1,10407,-303421961,178676028,-546367144,-374416923,809297743,-902806280
8,2,0,1,10407,-111287790,1253906317,-1432736649,-290733950,-1191874594,-955607934
9,2,0,1,10407,-1575573748,1586815526,-48648691,-2023819422,-404169206,817569455
10,2,0,1,10407,2020439762,-707669700,1545529906,-1792559574,94676608,-242424934
1,3,0,1,10407,1505092613,-1858976823,74373136,2047449673,-1503465190,882485815
2,3,0,1,10407,-1259689932,-1170793150,-2081732812,1899276787,528636590,160507242
3,3,0,1,10407,-1152499005,980608818,-206022170,-2139051732,817367306,319136057
4,3,0,1,10407,-88305105,1348434735,1916114648,752912023,1805718179,2110723194
5,3,0,1,10407,-437689583,1694470126,-501549132,1578868955,69797380,-1343490836
6,3,0,1,10407,-236520283,-159672345,-258486409,129597968,2075100779,1621540770
7,3,0,1,10407,-1855009529,-738995231,-1757494113,1654229177,1424811986,-397679795
